theobromine	YAPQBXQYLJRXSA-UHFFFAOYSA-N
diltiazem	HSUGRBWQSSZJOP-RTWAWAEBSA-N
nomegestrol	KZUIYQJTUIACIG-YBZCJVABSA-N
berberine	YBHILYKTIRIUTE-UHFFFAOYSA-N
cicloheximide	YPHMISFOHDHNIV-FSZOTQKASA-N
capsaicin	YKPUWZUDDOIDPM-SOFGYWHQSA-N
fulvestrant	VWUXBMIQPBEWFH-WCCTWKNTSA-N
cefixime	OKBVVJOGVLARMR-QMTHXVAHSA-N
cefixime	OKBVVJOGVLARMR-UHFFFAOYSA-N
cefixime	OKBVVJOGVLARMR-VINNURBNSA-N
cefixime	OKBVVJOGVLARMR-QSWIMTSFSA-N
cefixime	OKBVVJOGVLARMR-AWQFTUOYSA-N
erythromycin	ULGZDMOVFRHVEP-RWJQBGPGSA-N
dihydroergotamine	LUZRJRNZXALNLM-JGRZULCMSA-N
letrozole	HPJKCIUCZWXJDR-UHFFFAOYSA-N
roxithromycin	RXZBMPWDPOLZGW-OUYQJUDISA-N
roxithromycin	RXZBMPWDPOLZGW-FEMONOMJSA-N
roxithromycin	RXZBMPWDPOLZGW-YVNHRGETSA-N
roxithromycin	RXZBMPWDPOLZGW-RNLQMQBISA-N
roxithromycin	RXZBMPWDPOLZGW-HITVVWEBSA-N
roxithromycin	RXZBMPWDPOLZGW-AQMOSUNUSA-N
roxithromycin	RXZBMPWDPOLZGW-GWPRLELFSA-N
roxithromycin	RXZBMPWDPOLZGW-UHFFFAOYSA-N
roxithromycin	RXZBMPWDPOLZGW-KMAKEOJNSA-N
roxithromycin	RXZBMPWDPOLZGW-HEWSMUCTSA-N
roxithromycin	RXZBMPWDPOLZGW-XMRMVWPWSA-N
carbamazepine	FFGPTBGBLSHEPO-UHFFFAOYSA-N
riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N
riboflavin	AUNGANRZJHBGPY-UHFFFAOYSA-N
desipramine	HCYAFALTSJYZDH-UHFFFAOYSA-N
levamisole	HLFSDGLLUJUHTE-SNVBAGLBSA-N
deferoxamine	UBQYURCVBFRUQT-UHFFFAOYSA-N
corbadrine	GEFQWZLICWMTKF-CDUCUWFYSA-N
chloramphenicol	WIIZWVCIJKGZOK-RKDXNWHRSA-N
apomorphine	VMWNQDUVQKEIOC-CYBMUJFWSA-N
mepyramine	YECBIJXISLIIDS-UHFFFAOYSA-N
proguanil	SSOLNOMRVKKSON-UHFFFAOYSA-N
cefalexin	ZAIPMKNFIOOWCQ-UEKVPHQBSA-N
pentamidine	XDRYMKDFEDOLFX-UHFFFAOYSA-N
propafenone	JWHAUXFOSRPERK-UHFFFAOYSA-N
SB-202190	NJNKPVPFGLGHPA-UHFFFAOYSA-N
mepacrine	GPKJTRJOBQGKQK-UHFFFAOYSA-N
ajmaline	CJDRUOGAGYHKKD-ZPRZLSKBSA-N
ajmaline	CJDRUOGAGYHKKD-HEFSZTOGSA-N
ajmaline	CJDRUOGAGYHKKD-BAXQIEGASA-N
ajmaline	CJDRUOGAGYHKKD-IWMNNKGHSA-N
ajmaline	CJDRUOGAGYHKKD-FCXWBZPOSA-N
ajmaline	CJDRUOGAGYHKKD-OVXZWHIBSA-N
ajmaline	CJDRUOGAGYHKKD-FUIWMBJSSA-N
ajmaline	CJDRUOGAGYHKKD-PMSQXURASA-N
ajmaline	CJDRUOGAGYHKKD-FYGXBCQKSA-N
