source	destinations_disconnected_to
ACE	MYNN
KAPCA	MYNN
NTKL	MYNN
CALM	MYNN
ACHA4	MYNN
ANXA2	MYNN
AURKB	MYNN
GNAT3	MYNN
CA2D1	MYNN
CAH4	MYNN
AK1C1	MYNN
ROCK1	MYNN
CHLE	MYNN
J3QK85	MYNN
ZAP70	MYNN
UD14	MYNN
S12A2	MYNN
EST1A	MYNN
VKOR1	MYNN
XDH	MYNN
ACHB4	MYNN
RLP24	MYNN
EDN1	MYNN
GBRB3	MYNN
TKT	MYNN
NEU2	MYNN
3HAO	MYNN
RL10L	MYNN
ADA1D	MYNN
CANB2	MYNN
KAP3	MYNN
PANX1	MYNN
ST2A1	MYNN
UPP2	MYNN
AK1D1	MYNN
CAC1A	MYNN
CUBN	MYNN
THA	MYNN
TBB5	MYNN
CATA	MYNN
RL3	MYNN
PA2GE	MYNN
HRH2	MYNN
ATTY	MYNN
S29A2	MYNN
GBRT	MYNN
ACHA3	MYNN
CDK6	MYNN
5HT7R	MYNN
ADRB1	MYNN
CP11A	MYNN
CSK	MYNN
5HT3A	MYNN
AT12A	MYNN
IOD3	MYNN
PGFRA	MYNN
A1AG1	MYNN
TNFA	MYNN
NFAC2	MYNN
NOS2	MYNN
5HT2B	MYNN
HS90A	MYNN
LCK	MYNN
ADCYA	MYNN
HS90B	MYNN
ADA2A	MYNN
CACP	MYNN
RARA	MYNN
PYC	MYNN
CATL1	MYNN
ACHA9	MYNN
NH2L1	MYNN
AAKB2	MYNN
DCXR	MYNN
CXCL7	MYNN
KCNE1	MYNN
B3GT4	MYNN
ACES	MYNN
SCNNG	MYNN
HASP	MYNN
MMP3	MYNN
MET	MYNN
AA2BR	MYNN
PDE8A	MYNN
5HT2C	MYNN
AK1C3	MYNN
OSTCN	MYNN
NMD3B	MYNN
CDK5	MYNN
PPARA	MYNN
DRD2	MYNN
VGFR2	MYNN
CP1A2	MYNN
NGF	MYNN
GBRA6	MYNN
ACHA7	MYNN
CP2C9	MYNN
TBA1A	MYNN
IL2RA	MYNN
PPB1	MYNN
PD2R	MYNN
Q71TU5	MYNN
DCE1	MYNN
GBRG1	MYNN
FGFR2	MYNN
IMPA1	MYNN
ACM2	MYNN
IL8	MYNN
5HT6R	MYNN
KPCT	MYNN
AOC1	MYNN
PCNA	MYNN
KSYK	MYNN
CAH9	MYNN
RL11	MYNN
CACB3	MYNN
HMDH	MYNN
GBRA4	MYNN
KIT	MYNN
AOFA	MYNN
NEP	MYNN
GLYC	MYNN
NCOA2	MYNN
5HT1E	MYNN
TBA4A	MYNN
METH	MYNN
LDHA	MYNN
MK08	MYNN
IGHG4	MYNN
CP2CJ	MYNN
RXRA	MYNN
PA2GA	MYNN
CP131	MYNN
ACACB	MYNN
PTHY	MYNN
IL10	MYNN
CAH2	MYNN
OPRD	MYNN
AAPK1	MYNN
PDPK1	MYNN
ADRB3	MYNN
C11B1	MYNN
GBRP	MYNN
ROCK2	MYNN
RL8	MYNN
ADCY2	MYNN
PHOP2	MYNN
CAH12	MYNN
S10A4	MYNN
GRIK1	MYNN
CBG	MYNN
PRGR	MYNN
HCAR2	MYNN
DNMT1	MYNN
PGH2	MYNN
CAC1F	MYNN
ADA2C	MYNN
S15A1	MYNN
ADA1A	MYNN
A1AG2	MYNN
OX1R	MYNN
KCMA1	MYNN
NMDE3	MYNN
HIBCH	MYNN
IPKA	MYNN
S22AI	MYNN
S29A1	MYNN
HDAC1	MYNN
PNPH	MYNN
ADA2B	MYNN
TRFL	MYNN
ALBU	MYNN
FMO3	MYNN
PLK1	MYNN
SGMR1	MYNN
GUAA	MYNN
QOR	MYNN
GCR	MYNN
CATD	MYNN
MIF	MYNN
HPGDS	MYNN
MKNK1	MYNN
P2RY2	MYNN
S12A4	MYNN
EGFR	MYNN
NFKB1	MYNN
PGFRB	MYNN
ANT3	MYNN
GTR1	MYNN
MK10	MYNN
CAMLG	MYNN
HEMH	MYNN
MTRR	MYNN
NQO1	MYNN
ACH10	MYNN
FMO4	MYNN
DRD5	MYNN
TRY1	MYNN
SCNAA	MYNN
GBRG3	MYNN
PDE8B	MYNN
KCNA2	MYNN
IFNA2	MYNN
AA1R	MYNN
MAPK2	MYNN
PK3CD	MYNN
HRH4	MYNN
GBRB1	MYNN
HCN2	MYNN
RL26L	MYNN
DMTA2	MYNN
6PGD	MYNN
GRP78	MYNN
PSIP1	MYNN
AT1A4	MYNN
GLR	MYNN
OPRK	MYNN
ATPB	MYNN
STMN4	MYNN
CACB2	MYNN
NMDZ1	MYNN
SC6A3	MYNN
ST2B1	MYNN
TBG1	MYNN
ESR1	MYNN
CREB1	MYNN
5HT1B	MYNN
ERBB2	MYNN
HDAC7	MYNN
KCC1B	MYNN
TBD	MYNN
TOP2B	MYNN
3BHS1	MYNN
ATP4A	MYNN
LOX5	MYNN
UD3A1	MYNN
BDNF	MYNN
GBRA1	MYNN
FOS	MYNN
SHBG	MYNN
ODP2	MYNN
ABCA1	MYNN
DYR	MYNN
P85A	MYNN
SIR1	MYNN
MTHR	MYNN
ADCL2	MYNN
IBP3	MYNN
DDR1	MYNN
CP46A	MYNN
SCN2A	MYNN
IL4	MYNN
NPS	MYNN
NMDE1	MYNN
AOFB	MYNN
RL13A	MYNN
S22A2	MYNN
CALY	MYNN
S12A5	MYNN
PK3CA	MYNN
PDE4D	MYNN
KIF11	MYNN
NR1I2	MYNN
NISCH	MYNN
NFKB2	MYNN
ITK	MYNN
PPIA	MYNN
MMAA	MYNN
PA24A	MYNN
HYES	MYNN
CP2C8	MYNN
CAC1D	MYNN
SCNNA	MYNN
DRD3	MYNN
IOD1	MYNN
AAKB1	MYNN
ARY2	MYNN
DOPO	MYNN
PDE3A	MYNN
TR10B	MYNN
ADA1B	MYNN
C9JK77	MYNN
MYLK3	MYNN
PDE1B	MYNN
MYH9	MYNN
TRI15	MYNN
HPRT	MYNN
ADRB2	MYNN
LIPL	MYNN
MDR1	MYNN
5HT1A	MYNN
CP19A	MYNN
ARY1	MYNN
5HT2A	MYNN
G6PD	MYNN
PYRD	MYNN
GBRB2	MYNN
IKBA	MYNN
THRB	MYNN
GPX1	MYNN
TNNC2	MYNN
S22AB	MYNN
PDE5A	MYNN
TGFB1	MYNN
TOP2A	MYNN
RL23	MYNN
PDK3	MYNN
EDNRA	MYNN
TF65	MYNN
KAP0	MYNN
PPIF	MYNN
RL15	MYNN
KCNH2	MYNN
PDE4C	MYNN
ABCC8	MYNN
J3KPA4	MYNN
HDAC8	MYNN
GBRD	MYNN
CCKN	MYNN
ADCY5	MYNN
ATPA	MYNN
ATPG	MYNN
CAC1G	MYNN
LDHB	MYNN
