source	destinations_disconnected_to
ACE	ZNF91
KAPCA	ZNF91
NTKL	ZNF91
CALM	ZNF91
ACHA4	ZNF91
ANXA2	ZNF91
AURKB	ZNF91
GNAT3	ZNF91
CA2D1	ZNF91
CAH4	ZNF91
AK1C1	ZNF91
ROCK1	ZNF91
CHLE	ZNF91
J3QK85	ZNF91
ZAP70	ZNF91
UD14	ZNF91
S12A2	ZNF91
EST1A	ZNF91
VKOR1	ZNF91
XDH	ZNF91
ACHB4	ZNF91
RLP24	ZNF91
EDN1	ZNF91
GBRB3	ZNF91
TKT	ZNF91
NEU2	ZNF91
3HAO	ZNF91
RL10L	ZNF91
ADA1D	ZNF91
CANB2	ZNF91
KAP3	ZNF91
PANX1	ZNF91
ST2A1	ZNF91
UPP2	ZNF91
AK1D1	ZNF91
CAC1A	ZNF91
CUBN	ZNF91
THA	ZNF91
TBB5	ZNF91
CATA	ZNF91
RL3	ZNF91
PA2GE	ZNF91
HRH2	ZNF91
ATTY	ZNF91
S29A2	ZNF91
GBRT	ZNF91
ACHA3	ZNF91
CDK6	ZNF91
5HT7R	ZNF91
ADRB1	ZNF91
CP11A	ZNF91
CSK	ZNF91
5HT3A	ZNF91
AT12A	ZNF91
IOD3	ZNF91
PGFRA	ZNF91
A1AG1	ZNF91
TNFA	ZNF91
NFAC2	ZNF91
NOS2	ZNF91
5HT2B	ZNF91
HS90A	ZNF91
LCK	ZNF91
ADCYA	ZNF91
HS90B	ZNF91
ADA2A	ZNF91
CACP	ZNF91
RARA	ZNF91
PYC	ZNF91
CATL1	ZNF91
ACHA9	ZNF91
NH2L1	ZNF91
AAKB2	ZNF91
DCXR	ZNF91
CXCL7	ZNF91
KCNE1	ZNF91
B3GT4	ZNF91
ACES	ZNF91
SCNNG	ZNF91
HASP	ZNF91
MMP3	ZNF91
MET	ZNF91
AA2BR	ZNF91
PDE8A	ZNF91
5HT2C	ZNF91
AK1C3	ZNF91
OSTCN	ZNF91
NMD3B	ZNF91
CDK5	ZNF91
PPARA	ZNF91
DRD2	ZNF91
VGFR2	ZNF91
CP1A2	ZNF91
NGF	ZNF91
GBRA6	ZNF91
ACHA7	ZNF91
CP2C9	ZNF91
TBA1A	ZNF91
IL2RA	ZNF91
