source	destinations_disconnected_to
ACE	CEMP1
KAPCA	CEMP1
NTKL	CEMP1
CALM	CEMP1
ACHA4	CEMP1
ANXA2	CEMP1
AURKB	CEMP1
GNAT3	CEMP1
CA2D1	CEMP1
CAH4	CEMP1
AK1C1	CEMP1
ROCK1	CEMP1
CHLE	CEMP1
J3QK85	CEMP1
ZAP70	CEMP1
UD14	CEMP1
S12A2	CEMP1
EST1A	CEMP1
VKOR1	CEMP1
XDH	CEMP1
ACHB4	CEMP1
RLP24	CEMP1
EDN1	CEMP1
GBRB3	CEMP1
TKT	CEMP1
NEU2	CEMP1
3HAO	CEMP1
RL10L	CEMP1
ADA1D	CEMP1
CANB2	CEMP1
KAP3	CEMP1
PANX1	CEMP1
ST2A1	CEMP1
UPP2	CEMP1
AK1D1	CEMP1
CAC1A	CEMP1
CUBN	CEMP1
THA	CEMP1
TBB5	CEMP1
CATA	CEMP1
RL3	CEMP1
PA2GE	CEMP1
HRH2	CEMP1
ATTY	CEMP1
S29A2	CEMP1
GBRT	CEMP1
ACHA3	CEMP1
CDK6	CEMP1
5HT7R	CEMP1
ADRB1	CEMP1
CP11A	CEMP1
CSK	CEMP1
5HT3A	CEMP1
AT12A	CEMP1
IOD3	CEMP1
PGFRA	CEMP1
A1AG1	CEMP1
TNFA	CEMP1
NFAC2	CEMP1
NOS2	CEMP1
5HT2B	CEMP1
HS90A	CEMP1
LCK	CEMP1
ADCYA	CEMP1
HS90B	CEMP1
ADA2A	CEMP1
CACP	CEMP1
RARA	CEMP1
PYC	CEMP1
CATL1	CEMP1
ACHA9	CEMP1
NH2L1	CEMP1
AAKB2	CEMP1
DCXR	CEMP1
CXCL7	CEMP1
KCNE1	CEMP1
B3GT4	CEMP1
ACES	CEMP1
SCNNG	CEMP1
HASP	CEMP1
MMP3	CEMP1
MET	CEMP1
AA2BR	CEMP1
PDE8A	CEMP1
5HT2C	CEMP1
AK1C3	CEMP1
OSTCN	CEMP1
NMD3B	CEMP1
CDK5	CEMP1
PPARA	CEMP1
DRD2	CEMP1
VGFR2	CEMP1
CP1A2	CEMP1
NGF	CEMP1
GBRA6	CEMP1
ACHA7	CEMP1
CP2C9	CEMP1
TBA1A	CEMP1
IL2RA	CEMP1
PPB1	CEMP1
PD2R	CEMP1
Q71TU5	CEMP1
DCE1	CEMP1
GBRG1	CEMP1
FGFR2	CEMP1
IMPA1	CEMP1
ACM2	CEMP1
IL8	CEMP1
5HT6R	CEMP1
KPCT	CEMP1
AOC1	CEMP1
PCNA	CEMP1
KSYK	CEMP1
CAH9	CEMP1
RL11	CEMP1
CACB3	CEMP1
HMDH	CEMP1
GBRA4	CEMP1
KIT	CEMP1
AOFA	CEMP1
NEP	CEMP1
GLYC	CEMP1
NCOA2	CEMP1
5HT1E	CEMP1
TBA4A	CEMP1
METH	CEMP1
LDHA	CEMP1
MK08	CEMP1
IGHG4	CEMP1
CP2CJ	CEMP1
RXRA	CEMP1
PA2GA	CEMP1
CP131	CEMP1
ACACB	CEMP1
PTHY	CEMP1
IL10	CEMP1
CAH2	CEMP1
OPRD	CEMP1
AAPK1	CEMP1
PDPK1	CEMP1
ADRB3	CEMP1
C11B1	CEMP1
GBRP	CEMP1
ROCK2	CEMP1
RL8	CEMP1
ADCY2	CEMP1
PHOP2	CEMP1
CAH12	CEMP1
S10A4	CEMP1
GRIK1	CEMP1
CBG	CEMP1
PRGR	CEMP1
HCAR2	CEMP1
DNMT1	CEMP1
PGH2	CEMP1
CAC1F	CEMP1
ADA2C	CEMP1
S15A1	CEMP1
ADA1A	CEMP1
A1AG2	CEMP1
OX1R	CEMP1
KCMA1	CEMP1
NMDE3	CEMP1
HIBCH	CEMP1
IPKA	CEMP1
S22AI	CEMP1
S29A1	CEMP1
HDAC1	CEMP1
PNPH	CEMP1
ADA2B	CEMP1
TRFL	CEMP1
ALBU	CEMP1
FMO3	CEMP1
PLK1	CEMP1
SGMR1	CEMP1
GUAA	CEMP1
QOR	CEMP1
GCR	CEMP1
CATD	CEMP1
MIF	CEMP1
HPGDS	CEMP1
MKNK1	CEMP1
P2RY2	CEMP1
S12A4	CEMP1
EGFR	CEMP1
NFKB1	CEMP1
PGFRB	CEMP1
ANT3	CEMP1
GTR1	CEMP1
MK10	CEMP1
CAMLG	CEMP1
HEMH	CEMP1
MTRR	CEMP1
NQO1	CEMP1
ACH10	CEMP1
FMO4	CEMP1
DRD5	CEMP1
TRY1	CEMP1
SCNAA	CEMP1
GBRG3	CEMP1
PDE8B	CEMP1
KCNA2	CEMP1
IFNA2	CEMP1
AA1R	CEMP1
MAPK2	CEMP1
PK3CD	CEMP1
HRH4	CEMP1
GBRB1	CEMP1
HCN2	CEMP1
RL26L	CEMP1
DMTA2	CEMP1
6PGD	CEMP1
GRP78	CEMP1
PSIP1	CEMP1
AT1A4	CEMP1
GLR	CEMP1
OPRK	CEMP1
ATPB	CEMP1
STMN4	CEMP1
CACB2	CEMP1
NMDZ1	CEMP1
SC6A3	CEMP1
ST2B1	CEMP1
TBG1	CEMP1
ESR1	CEMP1
CREB1	CEMP1
5HT1B	CEMP1
ERBB2	CEMP1
HDAC7	CEMP1
KCC1B	CEMP1
TBD	CEMP1
TOP2B	CEMP1
3BHS1	CEMP1
ATP4A	CEMP1
LOX5	CEMP1
UD3A1	CEMP1
BDNF	CEMP1
GBRA1	CEMP1
FOS	CEMP1
SHBG	CEMP1
ODP2	CEMP1
ABCA1	CEMP1
DYR	CEMP1
P85A	CEMP1
SIR1	CEMP1
MTHR	CEMP1
ADCL2	CEMP1
IBP3	CEMP1
DDR1	CEMP1
CP46A	CEMP1
SCN2A	CEMP1
IL4	CEMP1
NPS	CEMP1
NMDE1	CEMP1
AOFB	CEMP1
RL13A	CEMP1
S22A2	CEMP1
CALY	CEMP1
S12A5	CEMP1
PK3CA	CEMP1
PDE4D	CEMP1
KIF11	CEMP1
NR1I2	CEMP1
NISCH	CEMP1
NFKB2	CEMP1
ITK	CEMP1
PPIA	CEMP1
MMAA	CEMP1
PA24A	CEMP1
HYES	CEMP1
CP2C8	CEMP1
CAC1D	CEMP1
SCNNA	CEMP1
DRD3	CEMP1
IOD1	CEMP1
AAKB1	CEMP1
ARY2	CEMP1
DOPO	CEMP1
PDE3A	CEMP1
TR10B	CEMP1
ADA1B	CEMP1
C9JK77	CEMP1
MYLK3	CEMP1
PDE1B	CEMP1
MYH9	CEMP1
TRI15	CEMP1
HPRT	CEMP1
ADRB2	CEMP1
LIPL	CEMP1
MDR1	CEMP1
5HT1A	CEMP1
CP19A	CEMP1
ARY1	CEMP1
5HT2A	CEMP1
G6PD	CEMP1
PYRD	CEMP1
GBRB2	CEMP1
IKBA	CEMP1
THRB	CEMP1
GPX1	CEMP1
TNNC2	CEMP1
S22AB	CEMP1
PDE5A	CEMP1
TGFB1	CEMP1
TOP2A	CEMP1
RL23	CEMP1
PDK3	CEMP1
EDNRA	CEMP1
TF65	CEMP1
KAP0	CEMP1
PPIF	CEMP1
RL15	CEMP1
KCNH2	CEMP1
PDE4C	CEMP1
ABCC8	CEMP1
J3KPA4	CEMP1
HDAC8	CEMP1
GBRD	CEMP1
CCKN	CEMP1
ADCY5	CEMP1
ATPA	CEMP1
ATPG	CEMP1
CAC1G	CEMP1
LDHB	CEMP1
JUN	CEMP1
CSF1R	CEMP1
UD19	CEMP1
ATF6A	CEMP1
RL19	CEMP1
ST17B	CEMP1
ABL1	CEMP1
PHOP1	CEMP1
SC6A4	CEMP1
S22A6	CEMP1
GRIK2	CEMP1
ACM3	CEMP1
RYR1	CEMP1
S23IP	CEMP1
CRBN	CEMP1
MUTA	CEMP1
ARGI1	CEMP1
AA3R	CEMP1
GBRA5	CEMP1
CAH6	CEMP1
FAK1	CEMP1
SCNND	CEMP1
CASP8	CEMP1
SYRC	CEMP1
CP3A4	CEMP1
A4	CEMP1
MRP1	CEMP1
KCNN4	CEMP1
PDE7A	CEMP1
SCN4A	CEMP1
CACB1	CEMP1
DHI1	CEMP1
PDIA1	CEMP1
LRP2	CEMP1
ESR2	CEMP1
SCNNB	CEMP1
NMDE4	CEMP1
TY3H	CEMP1
SOAT1	CEMP1
NMD3A	CEMP1
ASM	CEMP1
S12A1	CEMP1
CP1A1	CEMP1
INSR2	CEMP1
NCOA1	CEMP1
TBE	CEMP1
ITAL	CEMP1
PPARG	CEMP1
GSK3B	CEMP1
CAC1I	CEMP1
THB	CEMP1
KLK3	CEMP1
GBRA2	CEMP1
TBB4B	CEMP1
DRD4	CEMP1
CLIC1	CEMP1
GBRE	CEMP1
RHOA	CEMP1
TERT	CEMP1
RL23A	CEMP1
KITH	CEMP1
HIF1A	CEMP1
TEBP	CEMP1
PERM	CEMP1
TYSY	CEMP1
PAR10	CEMP1
NNMT	CEMP1
RARB	CEMP1
PK3CG	CEMP1
CAC1C	CEMP1
PLPL9	CEMP1
OPRM	CEMP1
PLMN	CEMP1
ADA	CEMP1
TNNC1	CEMP1
J3KN87	CEMP1
GBRG2	CEMP1
FAD1	CEMP1
PDE1A	CEMP1
GLUC	CEMP1
EST1	CEMP1
P2RX2	CEMP1
NOS3	CEMP1
GSTP1	CEMP1
CAH7	CEMP1
IL6	CEMP1
UD13	CEMP1
PDE4A	CEMP1
CBPB2	CEMP1
KCJ11	CEMP1
SCN5A	CEMP1
CP21A	CEMP1
CFTR	CEMP1
ACM1	CEMP1
GRIA2	CEMP1
CPT2	CEMP1
COMT	CEMP1
P53	CEMP1
CNGA1	CEMP1
HDAC9	CEMP1
KCNQ1	CEMP1
PGH1	CEMP1
CP2R1	CEMP1
CAC1H	CEMP1
CAB45	CEMP1
CDK2	CEMP1
SC6A2	CEMP1
AK1C2	CEMP1
CA2D2	CEMP1
S22A8	CEMP1
EBP	CEMP1
NADC	CEMP1
5HT5A	CEMP1
AHR	CEMP1
HDAC6	CEMP1
MRP2	CEMP1
PDE4B	CEMP1
AA2AR	CEMP1
PDE7B	CEMP1
FAK2	CEMP1
CASP3	CEMP1
CATB	CEMP1
CAC1S	CEMP1
TA2R	CEMP1
TPMT	CEMP1
5HT1D	CEMP1
PIM1	CEMP1
AT1A1	CEMP1
MMP9	CEMP1
RL37	CEMP1
PARP1	CEMP1
RENR	CEMP1
ENPL	CEMP1
NR1I3	CEMP1
CAH1	CEMP1
SL9A7	CEMP1
ACM4	CEMP1
TOP1	CEMP1
DHB8	CEMP1
FABP6	CEMP1
GABR1	CEMP1
LY66C	CEMP1
GLNA	CEMP1
SCN1A	CEMP1
HDAC3	CEMP1
RENI	CEMP1
