source	destinations_disconnected_to
ACE	PRRC1	AQP8
KAPCA	PRRC1	AQP8
NTKL	PRRC1	AQP8
CALM	PRRC1	AQP8
ACHA4	PRRC1	AQP8
ANXA2	PRRC1	AQP8
AURKB	PRRC1	AQP8
GNAT3	PRRC1	AQP8
CA2D1	PRRC1	AQP8
CAH4	PRRC1	AQP8
AK1C1	PRRC1	AQP8
ROCK1	PRRC1	AQP8
CHLE	PRRC1	AQP8
J3QK85	PRRC1	AQP8
ZAP70	PRRC1	AQP8
UD14	PRRC1	AQP8
S12A2	PRRC1	AQP8
EST1A	PRRC1	AQP8
VKOR1	PRRC1	AQP8
XDH	PRRC1	AQP8
ACHB4	PRRC1	AQP8
RLP24	PRRC1	AQP8
EDN1	PRRC1	AQP8
GBRB3	PRRC1	AQP8
TKT	PRRC1	AQP8
NEU2	PRRC1	AQP8
3HAO	PRRC1	AQP8
RL10L	PRRC1	AQP8
ADA1D	PRRC1	AQP8
CANB2	PRRC1	AQP8
KAP3	PRRC1	AQP8
PANX1	PRRC1	AQP8
ST2A1	PRRC1	AQP8
UPP2	PRRC1	AQP8
AK1D1	PRRC1	AQP8
CAC1A	PRRC1	AQP8
CUBN	PRRC1	AQP8
THA	PRRC1	AQP8
TBB5	PRRC1	AQP8
CATA	PRRC1	AQP8
RL3	PRRC1	AQP8
PA2GE	PRRC1	AQP8
HRH2	PRRC1	AQP8
ATTY	PRRC1	AQP8
S29A2	PRRC1	AQP8
GBRT	PRRC1	AQP8
ACHA3	PRRC1	AQP8
CDK6	PRRC1	AQP8
5HT7R	PRRC1	AQP8
ADRB1	PRRC1	AQP8
CP11A	PRRC1	AQP8
CSK	PRRC1	AQP8
5HT3A	PRRC1	AQP8
AT12A	PRRC1	AQP8
IOD3	PRRC1	AQP8
PGFRA	PRRC1	AQP8
A1AG1	PRRC1	AQP8
TNFA	PRRC1	AQP8
NFAC2	PRRC1	AQP8
NOS2	PRRC1	AQP8
5HT2B	PRRC1	AQP8
HS90A	PRRC1	AQP8
LCK	PRRC1	AQP8
ADCYA	PRRC1	AQP8
