source	destinations_disconnected_to
ACE	ACN9
KAPCA	ACN9
NTKL	ACN9
CALM	ACN9
ACHA4	ACN9
ANXA2	ACN9
AURKB	ACN9
GNAT3	ACN9
CA2D1	ACN9
CAH4	ACN9
AK1C1	ACN9
ROCK1	ACN9
CHLE	ACN9
J3QK85	ACN9
ZAP70	ACN9
UD14	ACN9
S12A2	ACN9
EST1A	ACN9
VKOR1	ACN9
XDH	ACN9
ACHB4	ACN9
RLP24	ACN9
EDN1	ACN9
GBRB3	ACN9
TKT	ACN9
NEU2	ACN9
3HAO	ACN9
RL10L	ACN9
ADA1D	ACN9
CANB2	ACN9
KAP3	ACN9
PANX1	ACN9
ST2A1	ACN9
UPP2	ACN9
AK1D1	ACN9
CAC1A	ACN9
CUBN	ACN9
THA	ACN9
TBB5	ACN9
CATA	ACN9
RL3	ACN9
PA2GE	ACN9
HRH2	ACN9
ATTY	ACN9
S29A2	ACN9
GBRT	ACN9
ACHA3	ACN9
CDK6	ACN9
5HT7R	ACN9
ADRB1	ACN9
CP11A	ACN9
CSK	ACN9
5HT3A	ACN9
AT12A	ACN9
IOD3	ACN9
PGFRA	ACN9
A1AG1	ACN9
TNFA	ACN9
NFAC2	ACN9
NOS2	ACN9
5HT2B	ACN9
HS90A	ACN9
LCK	ACN9
ADCYA	ACN9
HS90B	ACN9
ADA2A	ACN9
CACP	ACN9
RARA	ACN9
PYC	ACN9
CATL1	ACN9
ACHA9	ACN9
NH2L1	ACN9
AAKB2	ACN9
DCXR	ACN9
CXCL7	ACN9
KCNE1	ACN9
B3GT4	ACN9
ACES	ACN9
SCNNG	ACN9
HASP	ACN9
MMP3	ACN9
MET	ACN9
AA2BR	ACN9
PDE8A	ACN9
5HT2C	ACN9
AK1C3	ACN9
OSTCN	ACN9
NMD3B	ACN9
CDK5	ACN9
PPARA	ACN9
DRD2	ACN9
VGFR2	ACN9
CP1A2	ACN9
NGF	ACN9
GBRA6	ACN9
ACHA7	ACN9
CP2C9	ACN9
TBA1A	ACN9
IL2RA	ACN9
PPB1	ACN9
PD2R	ACN9
Q71TU5	ACN9
DCE1	ACN9
GBRG1	ACN9
FGFR2	ACN9
IMPA1	ACN9
ACM2	ACN9
IL8	ACN9
5HT6R	ACN9
KPCT	ACN9
AOC1	ACN9
PCNA	ACN9
KSYK	ACN9
CAH9	ACN9
RL11	ACN9
CACB3	ACN9
HMDH	ACN9
GBRA4	ACN9
KIT	ACN9
AOFA	ACN9
NEP	ACN9
GLYC	ACN9
NCOA2	ACN9
5HT1E	ACN9
TBA4A	ACN9
METH	ACN9
LDHA	ACN9
MK08	ACN9
IGHG4	ACN9
CP2CJ	ACN9
RXRA	ACN9
PA2GA	ACN9
CP131	ACN9
ACACB	ACN9
PTHY	ACN9
IL10	ACN9
CAH2	ACN9
OPRD	ACN9
AAPK1	ACN9
PDPK1	ACN9
