source	destinations_disconnected_to
ACE	ULK4	GPR27
KAPCA	ULK4	GPR27
NTKL	ULK4	GPR27
CALM	ULK4	GPR27
ACHA4	ULK4	GPR27
ANXA2	ULK4	GPR27
AURKB	ULK4	GPR27
GNAT3	ULK4	GPR27
CA2D1	ULK4	GPR27
CAH4	ULK4	GPR27
AK1C1	ULK4	GPR27
ROCK1	ULK4	GPR27
CHLE	ULK4	GPR27
J3QK85	ULK4	GPR27
ZAP70	ULK4	GPR27
UD14	ULK4	GPR27
S12A2	ULK4	GPR27
EST1A	ULK4	GPR27
VKOR1	ULK4	GPR27
XDH	ULK4	GPR27
ACHB4	ULK4	GPR27
RLP24	ULK4	GPR27
EDN1	ULK4	GPR27
GBRB3	ULK4	GPR27
TKT	ULK4	GPR27
NEU2	ULK4	GPR27
3HAO	ULK4	GPR27
RL10L	ULK4	GPR27
ADA1D	ULK4	GPR27
CANB2	ULK4	GPR27
KAP3	ULK4	GPR27
PANX1	ULK4	GPR27
ST2A1	ULK4	GPR27
UPP2	ULK4	GPR27
AK1D1	ULK4	GPR27
CAC1A	ULK4	GPR27
CUBN	ULK4	GPR27
THA	ULK4	GPR27
TBB5	ULK4	GPR27
CATA	ULK4	GPR27
RL3	ULK4	GPR27
PA2GE	ULK4	GPR27
HRH2	ULK4	GPR27
ATTY	ULK4	GPR27
S29A2	ULK4	GPR27
GBRT	ULK4	GPR27
ACHA3	ULK4	GPR27
CDK6	ULK4	GPR27
5HT7R	ULK4	GPR27
ADRB1	ULK4	GPR27
CP11A	ULK4	GPR27
CSK	ULK4	GPR27
5HT3A	ULK4	GPR27
AT12A	ULK4	GPR27
IOD3	ULK4	GPR27
PGFRA	ULK4	GPR27
A1AG1	ULK4	GPR27
TNFA	ULK4	GPR27
NFAC2	ULK4	GPR27
NOS2	ULK4	GPR27
5HT2B	ULK4	GPR27
HS90A	ULK4	GPR27
LCK	ULK4	GPR27
ADCYA	ULK4	GPR27
HS90B	ULK4	GPR27
ADA2A	ULK4	GPR27
