source	destinations_disconnected_to
ACE	SSX5	VAX2
KAPCA	SSX5	VAX2
NTKL	SSX5	VAX2
CALM	SSX5	VAX2
ACHA4	SSX5	VAX2
ANXA2	SSX5	VAX2
AURKB	SSX5	VAX2
GNAT3	SSX5	VAX2
CA2D1	SSX5	VAX2
CAH4	SSX5	VAX2
AK1C1	SSX5	VAX2
ROCK1	SSX5	VAX2
CHLE	SSX5	VAX2
J3QK85	SSX5	VAX2
ZAP70	SSX5	VAX2
UD14	SSX5	VAX2
S12A2	SSX5	VAX2
EST1A	SSX5	VAX2
VKOR1	SSX5	VAX2
XDH	SSX5	VAX2
ACHB4	SSX5	VAX2
RLP24	SSX5	VAX2
EDN1	SSX5	VAX2
GBRB3	SSX5	VAX2
TKT	SSX5	VAX2
NEU2	SSX5	VAX2
3HAO	SSX5	VAX2
RL10L	SSX5	VAX2
ADA1D	SSX5	VAX2
CANB2	SSX5	VAX2
KAP3	SSX5	VAX2
PANX1	SSX5	VAX2
ST2A1	SSX5	VAX2
UPP2	SSX5	VAX2
AK1D1	SSX5	VAX2
CAC1A	SSX5	VAX2
CUBN	SSX5	VAX2
THA	SSX5	VAX2
TBB5	SSX5	VAX2
CATA	SSX5	VAX2
RL3	SSX5	VAX2
PA2GE	SSX5	VAX2
HRH2	SSX5	VAX2
ATTY	SSX5	VAX2
S29A2	SSX5	VAX2
GBRT	SSX5	VAX2
ACHA3	SSX5	VAX2
CDK6	SSX5	VAX2
5HT7R	SSX5	VAX2
ADRB1	SSX5	VAX2
CP11A	SSX5	VAX2
CSK	SSX5	VAX2
5HT3A	SSX5	VAX2
AT12A	SSX5	VAX2
IOD3	SSX5	VAX2
PGFRA	SSX5	VAX2
A1AG1	SSX5	VAX2
TNFA	SSX5	VAX2
NFAC2	SSX5	VAX2
NOS2	SSX5	VAX2
5HT2B	SSX5	VAX2
HS90A	SSX5	VAX2
LCK	SSX5	VAX2
ADCYA	SSX5	VAX2
HS90B	SSX5	VAX2
ADA2A	SSX5	VAX2
CACP	SSX5	VAX2
RARA	SSX5	VAX2
PYC	SSX5	VAX2
CATL1	SSX5	VAX2
ACHA9	SSX5	VAX2
NH2L1	SSX5	VAX2
AAKB2	SSX5	VAX2
DCXR	SSX5	VAX2
CXCL7	SSX5	VAX2
KCNE1	SSX5	VAX2
B3GT4	SSX5	VAX2
ACES	SSX5	VAX2
SCNNG	SSX5	VAX2
HASP	SSX5	VAX2
MMP3	SSX5	VAX2
MET	SSX5	VAX2
AA2BR	SSX5	VAX2
PDE8A	SSX5	VAX2
5HT2C	SSX5	VAX2
AK1C3	SSX5	VAX2
OSTCN	SSX5	VAX2
