NMHMNPHRMNGLLB-UHFFFAOYSA-N	Hydroxyphenyl Propionic Acid
SIGSPDASOTUPFS-KQMXEUTGSA-N	Gestodene
SUYRLXYYZQTJHF-YDUUSSLSSA-N	Dalfopristin
IEQAICDLOKRSRL-UHFFFAOYSA-N	Polidocanol
SZQIFWWUIBRPBZ-UHFFFAOYSA-N	Ethotoin
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	SRT501
JWHAUXFOSRPERK-UHFFFAOYSA-N	Propafenone
MINDHVHHQZYEEK-APQGDJJUSA-N	Mupirocin
UMOFOLLUKPBVQG-UHFFFAOYSA-N	4-(2-Thienyl)-1-(4-Methylbenzyl)-1h-Imidazole
BEDBXOIWRNCGAU-NFQNBQCWSA-N	Lobeline
RTRQQBHATOEIAF-GIMIYPNGSA-N	Aicar
AGUNEISBPXQOPA-XMUHMHRVSA-N	Dehydrochloromethyltestosterone
KGHMYJFHUHFOGL-UHFFFAOYSA-N	N-(P-CYANOPHENYL)-N'-DIPHENYLMETHYL-GUANIDINE-ACETIC ACID
MNWFXJYAOYHMED-UHFFFAOYSA-M	Heptanoic Acid
VFQJPCQWZUBHTO-LICWNOKFSA-N	Flavopiridol
UHHATRNUKJGRBN-YFKPBYRVSA-N	L-Ornithine
ZUGCRBMNFSAUOC-YRNVUSSQSA-N	(2E)-1-[2-hydroxy-4-methoxy-5-(3-methylbut-2-en-1-yl)phenyl]-3-(4-hydroxyphenyl)prop-2-en-1-one
LSLYOANBFKQKPT-PIGZYNQJSA-N	Fenoterol
OMSKFAYIWROESZ-UHFFFAOYSA-N	Sp7343-Sp7964
UUHYRRXICWUZHW-BCZHLGEMSA-N	Vinorelbine
BKAWJIRCKVUVED-UHFFFAOYSA-N	4-Methyl-5-Hydroxyethylthiazole
LAKIDHKLVIBUCU-VIFPVBQESA-N	3-Methylphenylalanine
WHUUTDBJXJRKMK-YTCQKPCCSA-N	L-Glutamic Acid
UEDKSAKLZBMNMA-ROUUACIJSA-N	N2-({[(4-Bromophenyl)Methyl]Oxy}Carbonyl)-N1-[(1s)-1-Formylpentyl]-L-Leucinamide
XTYSXGHMTNTKFH-BDEHJDMKSA-N	Indinavir
ZFXAEBWYDPNILK-XVFCMESISA-N	Uridine 5'-Triphosphate
PGAVKCOVUIYSFO-XVFCMESISA-J	Uridine 5'-Triphosphate
YSEXMKHXIOCEJA-OQHVVPOVSA-N	Nicergoline
KSBNPSPIMZFSFJ-HNNXBMFYSA-P	S-(2-{[N-(2-HYDROXY-4-{[HYDROXY(OXIDO)PHOSPHINO]OXY}-3,3-DIMETHYLBUTANOYL)-BETA-ALANYL]AMINO}ETHYL) HEXANETHIOATE
IZZJOGWXTFEDLL-ZYNSJIGGSA-N	1-Deoxy-1-Methoxycarbamido-Beta-D-Glucopyranose
JOUIQRNQJGXQDC-UHFFFAOYSA-L	Namn
DMAFLSPHXHVGDJ-YUMQZZPRSA-N	Adenine
PGBHMTALBVVCIT-VQLIXOOLSA-N	Framycetin
ZKHQWZAMYRWXGA-VTHZCTBJSA-N	Adenosine triphosphate
OJIPQOWZZMSBGY-ZZJGABIISA-N	Hyoscyamine
GSLZGHSMNMZSLY-YQIBVIRQSA-N	Tetracycline
ROWMQJJMCWDJDT-UHFFFAOYSA-N	Tribromomethane
YKAYCWPQDPILSA-UHFFFAOYSA-N	4-Bromo-3-Hydroxy-3-Methyl Butyl Diphosphate
GLUUGHFHXGJENI-UHFFFAOYSA-N	Piperazine
CILQKUOYIAVYFK-UHFFFAOYSA-N	Toluene
MBVKLLLNTYZPKJ-WWSZORKHSA-N	Co-Methylcobalamin
HJGDVDUGXUSOGA-YMVOPXNESA-N	Sinapoyl Coenzyme A
KJYGCHKDMFCNGP-LGTSYYJHSA-N	Mdl 101,146
RCINICONZNJXQF-POUKISRJSA-N	Paclitaxel
ZEWMITGOOOKYQY-UHFFFAOYSA-N	Uracil
JECHSYMSTXETFI-UHFFFAOYSA-N	3-bromo-5-phenyl-N-(pyridin-4-ylmethyl)pyrazolo[1,5-a]pyrimidin-7-amine
ATPCPZSNYVMPOT-FKLPMGAJSA-L	Zinc Substituted Heme C
IQGURDMZNWKPEW-VHYPUYLQSA-N	Oleic Acid
AGFVQCSHMSTFBV-UHFFFAOYSA-N	Carboplatin
SAWXMTQYIIZWNU-RGEBLUSTSA-O	C-1027 Aromatized Chromophore
MWBWKVQOODCNCH-UHFFFAOYSA-N	Famotidine
ZBGXUVOIWDMMJE-QHNZEKIYSA-N	SCH-530348
ISAKRJDGNUQOIC-AZXPZELESA-N	Uracil
KXTYBXCEQOANSX-WYKQKOHHSA-N	Fusicoccin
CLKOFPXJLQSYAH-UHFFFAOYSA-N	Bacitracin
XCCSSVMRGIQMGF-LPHOPBHVSA-N	(2S,3S)-3-{3-[2-chloro-4-(methylsulfonyl)phenyl]-1,2,4-oxadiazol-5-yl}-1-cyclopentylidene-4-cyclopropyl-1-fluorobutan-2-amine
GEHSZWRGPHDXJO-NALJQGANSA-I	Coenzyme F420
DRMCATBEKSVAPL-UHFFFAOYSA-N	Oxaliplatin
MBJYEMUMDMGQQC-UHFFFAOYSA-N	4-({[4-(3-METHYLBENZOYL)PYRIDIN-2-YL]AMINO}METHYL)BENZENECARBOXIMIDAMIDE
URGFTPMACWKJKU-OAHLLOKOSA-N	FR230513
PDCSQCHNOPNJMK-UHFFFAOYSA-N	2-aminoethyl naphthalen-1-ylacetate
ORNBQBCIOKFOEO-QYYVTAPASA-N	Pregnenolone
JAQOMSTTXPGKTN-UHFFFAOYSA-N	1-Butane Boronic Acid
ZTWZVMIYIIVABD-UHFFFAOYSA-N	Candoxatril
SAADBVWGJQAEFS-UHFFFAOYSA-N	Flurazepam
SVHOVVJFOWGYJO-UHFFFAOYSA-N	Pentabromophenol
LJQBMYDFWFGESC-UHFFFAOYSA-N	4-Methylaminorex
LQCLVBQBTUVCEQ-QTFUVMRISA-N	Troleandomycin
KIQQMECNKUGGKA-OMEWWMGKSA-N	Norgestimate
XQFRJNBWHJMXHO-DSYKOEDSSA-N	Idoxuridine
ISLRTMYSSDDAFS-SCRDCRAPSA-N	N-Sulfo-Flavin Mononucleotide
OJMMVQQUTAEWLP-LPSAIEBYSA-N	Lincomycin
