Gene1	Gene2	Distance
S	U	0.43
F	B	0.20
T	U	0.54
N	M	0.11
K	A	0.09
Y	X	0.99
E	A	0.04
E	B	0.15
V	U	0.32
Q	M	0.44
M	S	0.01
M	F	0.02
M	T	0.01
M	E	0.02
M	Y	0.02
M	V	0.01
M	H	0.01
M	D	0.01
M	C	0.01
M	I	0.03
M	L	0.02
M	U	0.01
C	A	0.02
C	B	0.05
L	A	0.10
A	S	0.01
A	F	0.02
A	N	0.01
A	P	0.02
A	E	0.06
A	B	0.01
A	V	0.02
A	Q	0.02
A	C	0.02
A	R	0.02
A	G	0.05
A	U	0.03
O	M	0.22
J	A	0.08
X	D	0.02
X	N	0.10
P	O	0.02
P	Q	0.01
P	J	0.02
P	M	0.33
P	E	0.01
B	A	0.01
B	O	0.03
B	T	0.01
B	N	0.08
B	P	0.02
B	K	0.02
B	Y	0.21
B	V	0.20
B	Q	0.02
B	L	0.01
B	U	0.02
H	A	0.06
D	A	0.03
D	B	0.10
R	M	0.55
I	A	0.07
G	A	0.05
U	O	0.02
U	N	0.02
U	P	0.21
U	E	0.02
U	H	0.02
U	Q	0.02
U	D	0.02
U	L	0.04
