x
	(+)-chelidonine
PHLDA3	1
ZNF259	2
AKR1C3	3
ZNF124	4
NUDT9	5
STARD8	6
BMP15	7
ZNF692	8
BANK1	9
SH2B2	10
APOC4	11
FBXL12	12
C22orf26	13
EYA3	14
TGIF1	15
DHX16	16
SACS	17
NT5C2	18
TM4SF20	19
KIAA0087	20
PDZK1IP1	21
ZFHX2	22
ODC1	23
ZCCHC8	24
SNX6	25
WRAP73	26
ZNF189	27
COX6C	28
ALG3	29
SCTR	30
HDAC3	31
CATSPERB	32
ARHGDIB	33
CDKN2B	34
COMMD3	35
ZFYVE21	36
ZNF557	37
ANKRD10	38
OR2H1	39
TAF1A	40
FKBPL	41
DCAF6	42
STATH	43
NGFRAP1	44
DRD4	45
BTBD1	46
MPV17	47
POLR3D	48
CLK1	49
PADI3	50
HTN1	51
ARHGAP44	52
TP73	53
ARHGEF18	54
HIST1H3J	55
RNF43	56
PDE6H	57
FKBP5	58
CPSF7	59
LZTR1	60
CYB5R1	61
C1orf159	62
HNRNPH2	63
GPX4	64
YARS2	65
WBP2	66
CYP1A1	67
PAQR4	68
TNNI3	69
NANS	70
CYSLTR1	71
MYBBP1A	72
PGK2	73
POLE	74
PCDH17	75
OBFC2B	76
TIGD6	77
CASP7	78
REPIN1	79
DCHS2	80
CDK5R2	81
IGHV3-72	82
LAMB3	83
DEAF1	84
CTSL1	85
UBAC1	86
PLBD1	87
CSTF2	88
IL15RA	89
HARS	90
CNN2	91
POLR2I	92
CDKL3	93
IKZF2	94
GCNT1	95
CLTCL1	96
TAF5	97
FRMD1	98
MAGEB2	99
ZZZ3	100
x
	(+)-isoprenaline
LEPRE1	1
RAPSN	2
TMEM208	3
CD3E	4
B3GALT1	5
CEMP1	6
IGHV3-72	7
QSOX1	8
AURKC	9
SNX5	10
MRPL39	11
DCUN1D1	12
NDUFAF4	13
PSMD2	14
PSMG2	15
GADD45G	16
BEX4	17
SPATA1	18
EIF3D	19
NPLOC4	20
BAHD1	21
GPR35	22
FBXW7	23
GABRR1	24
TLR6	25
VGF	26
FCN2	27
C20orf7	28
HSD3BP2	29
CST7	30
ZNF556	31
PDGFRB	32
C17orf39	33
PLEKHO2	34
GRAMD3	35
CRYAA	36
EFHD2	37
NUDT1	38
ENOX1	39
PMF1	40
WWC2	41
IFI6	42
COCH	43
GABRB1	44
SEC61A1	45
DOCK3	46
CDC42BPB	47
ZFPM2	48
PHKA1	49
SEC24B	50
LBR	51
SUOX	52
MANF	53
HIGD1B	54
RTP4	55
MEAF6	56
ZNF37BP	57
HRC	58
NRIP3	59
UBE2W	60
CMPK1	61
SPP2	62
GDAP1L1	63
NSF	64
COL21A1	65
POU4F2	66
SLC25A5	67
ERBB2IP	68
FCGR2B	69
CBR1	70
CRYBA1	71
CECR5	72
SLC19A3	73
MYO1D	74
ZFYVE21	75
GIT1	76
RPL36AL	77
RPL10	78
PRDM11	79
KRTAP1-3	80
DNM2	81
CTPS2	82
RABEPK	83
POLR1D	84
IKZF2	85
FBXO5	86
DGCR5	87
HOXD1	88
SIGLEC5	89
TMEM206	90
AMD1	91
CYP26A1	92
A2M	93
RPS24	94
ZNF280A	95
CDH3	96
ARHGAP11A	97
KLF1	98
QSER1	99
LMNB1	100
x
	(+/-)-catechin
SCNN1B	1
CIR1	2
PLCD1	3
AP5S1	4
TRMT2A	5
MMP20	6
ZCCHC6	7
MRPS2	8
UBA5	9
SETD3	10
ROS1	11
ASGR1	12
HTR1F	13
CST7	14
MED9	15
FOXL1	16
AACS	17
GNL3L	18
TUBB6	19
JUP	20
APOD	21
COPZ1	22
TOB1	23
TAF6	24
XAF1	25
PFAS	26
SLC35F2	27
SMAGP	28
PTGDR	29
IGKV1D-8	30
NNAT	31
SLC8A2	32
AEBP1	33
DUTP1	34
KIR3DL1	35
TMEM106C	36
OR7A5	37
AVPR1B	38
JPH3	39
CSF3R	40
G6PC2	41
GIT1	42
DLK1	43
DDOST	44
METTL18	45
RMI1	46
DOCK2	47
ANKRD49	48
ITK	49
ZNF132	50
PRKY	51
USP22	52
MMD	53
HTR1E	54
NEU1	55
S100A10	56
PKIA	57
FGGY	58
CD82	59
MAPK8IP1	60
RABAC1	61
BPTF	62
DGKG	63
EYA1	64
ADAM21	65
NXPH4	66
HIST1H1D	67
ATP6V0D1	68
CDKN1B	69
PCSK1N	70
SKAP1	71
PHACTR1	72
GTF2E2	73
HBE1	74
CALML5	75
TM9SF3	76
ZNF230	77
PHLDA2	78
IMPACT	79
GTPBP10	80
LBR	81
PLEKHO2	82
PAQR3	83
XPO4	84
BUD31	85
FGF20	86
PDZRN3	87
YTHDF2	88
