x
	(+)-chelidonine
SIRT7	11664
C14orf102	11665
EGLN3	11666
SPTA1	11667
POLQ	11668
KLHL4	11669
SPRYD7	11670
PIWIL2	11671
HNRNPAB	11672
TATDN2	11673
NR1H4	11674
NYX	11675
KRT9	11676
DCAF10	11677
RANBP17	11678
PRRC1	11679
GBX2	11680
STAMBP	11681
BIRC2	11682
ASLP1	11683
FAM118A	11684
CAB39	11685
MOAP1	11686
IFT81	11687
GJB5	11688
CDC37L1	11689
COL19A1	11690
RGS9	11691
ATOX1	11692
IFNG	11693
NDUFB7	11694
APH1B	11695
TDO2	11696
RAP1A	11697
PPP1R1A	11698
CLEC4E	11699
CSGALNACT1	11700
MMADHC	11701
CPSF4	11702
ASTE1	11703
NPDC1	11704
SPINT1	11705
PLXNA3	11706
FAM46C	11707
WASF3	11708
TMX2	11709
RASGRP1	11710
KRT13	11711
ROBO4	11712
FPR1	11713
TAS2R14	11714
TXNRD1	11715
RPIA	11716
SLCO2A1	11717
SPAG16	11718
AKAP12	11719
ENOX1	11720
RSL24D1	11721
UQCR11	11722
TUBB	11723
TSC22D1	11724
HHLA3	11725
HNRNPA2B1	11726
NDUFA1	11727
FUCA1	11728
TNNI1	11729
ZNF711	11730
C19orf54	11731
IRF6	11732
POLR3E	11733
GPD1L	11734
BCAS3	11735
FBXO24	11736
RBPJL	11737
QSOX1	11738
PHF14	11739
PDE12	11740
ATP6V0E1P2	11741
TSPYL4	11742
FOXO4	11743
CHAD	11744
HDAC9	11745
MEX3C	11746
LILRA3	11747
ALOX5AP	11748
PIN1	11749
TYK2	11750
TTC40	11751
CDK4	11752
SLC30A9	11753
LACTB2	11754
RLBP1	11755
HSPB8	11756
ACADVL	11757
IGHV3-7	11758
ABCC4	11759
PLEK2	11760
AUH	11761
PLA2G4A	11762
DOT1L	11763
RGR	11764
NDUFB8	11765
TNFRSF1A	11766
LSM1	11767
JHDM1D	11768
GPR18	11769
STRAP	11770
TRPS1	11771
TMEM50B	11772
CTF1	11773
SAMSN1	11774
NAP1L4	11775
HAVCR1	11776
SETD5	11777
FKTN	11778
KRTAP9-9	11779
SLC4A8	11780
TMCC2	11781
HOXD4	11782
ARPP21	11783
TRPM4	11784
HHLA1	11785
C8orf4	11786
PTCH2	11787
CDADC1	11788
TBC1D12	11789
SHANK1	11790
SGPP1	11791
SMARCD2	11792
SERPINB5	11793
PRR5L	11794
ACTN3	11795
EVI2B	11796
FGD2	11797
SEMA6C	11798
POU2F3	11799
THUMPD2	11800
KCNJ2	11801
NDUFB11	11802
PTPLAD1	11803
CLGN	11804
CHRNA6	11805
CD63	11806
ISLR	11807
HTR3B	11808
SLC26A4	11809
NEU2	11810
RETN	11811
TXLNG	11812
THAP11	11813
SHH	11814
RPL37	11815
CITED1	11816
PLS1	11817
CFL1	11818
PFDN2	11819
GPS1	11820
POLDIP2	11821
LEMD3	11822
JRKL	11823
DNA2	11824
DIRAS2	11825
DNASE1L1	11826
FAM92A1	11827
SDR39U1	11828
LEP	11829
HERC1	11830
EDIL3	11831
ZXDB	11832
PROL1	11833
PRRG4	11834
ID3	11835
SERPINB10	11836
VENTXP1	11837
SLC9A2	11838
CYCSP33	11839
CSNK2A2	11840
BORA	11841
TINF2	11842
GABRG2	11843
RPUSD2	11844
TTC1	11845
TTLL12	11846
PRG4	11847
CREB3	11848
FA2H	11849
ARL15	11850
EGFL6	11851
APLP1	11852
HIST1H3C	11853
TUBB4B	11854
ATP5E	11855
PIP5K1B	11856
SH3YL1	11857
TNFSF4	11858
IMPA2	11859
ITPKB	11860
C17orf62	11861
PRAME	11862
MX1	11863
x
	(+)-isoprenaline
CEP55	11664
SAR1B	11665
SYT12	11666
ODC1	11667
ASH2L	11668
COX5A	11669
C11orf51	11670
FAM118A	11671
REV1	11672
PELI2	11673
FOXD3	11674
PTPRG	11675
C7orf44	11676
PHLDA2	11677
LPAR4	11678
HAS2	11679
DTX4	11680
CKLF	11681
PSMG1	11682
OGDH	11683
SLAMF1	11684
POLM	11685
KXD1	11686
ANGPT4	11687
SERPINB5	11688
RNF130	11689
KRTAP5-9	11690
ADORA2B	11691
PDE8B	11692
PIWIL2	11693
SEMG2	11694
LUZP4	11695
ARHGEF17	11696
ABCC8	11697
PARN	11698
GPR6	11699
BEND5	11700
TPM3	11701
SS18L2	11702
KIFC3	11703
MPV17	11704
AMPD1	11705
HELLS	11706
PIGP	11707
AGPAT5	11708
ODF2	11709
MAGEC3	11710
C15orf24	11711
STAR	11712
VAMP8	11713
LMBRD1	11714
ZNF415	11715
KLF15	11716
LLGL2	11717
SLC6A1	11718
REEP2	11719
INS	11720
KCNJ13	11721
HEXB	11722
DNAH17	11723
AMT	11724
TRIP4	11725
IGKV4-1	11726
SPO11	11727
PPP2R1A	11728
NDRG1	11729
CDCA3	11730
TMEM111	11731
IGHV1-2	11732
RRAGA	11733
CYP1A1	11734
CD1B	11735
MFSD1	11736
ZBTB3	11737
SRY	11738
CDH8	11739
OXCT1	11740
GLT8D2	11741
TOB1	11742
ARID5B	11743
MUM1	11744
ITGB1BP3	11745
C11orf71	11746
ARL4D	11747
UBE3C	11748
UCKL1	11749
CXCL11	11750
GRINA	11751
COTL1	11752
LINC00474	11753
GPN2	11754
KIF18A	11755
ARHGEF5	11756
ACAT1	11757
RASA2	11758
DLK2	11759
WDR7	11760
GJA1	11761
SLC1A5	11762
DDX11	11763
SLC6A11	11764
SLC30A1	11765
VDAC1	11766
CHRNA9	11767
TDP1	11768
FSTL3	11769
LGSN	11770
HIST1H3C	11771
NOS1AP	11772
SHOX	11773
SSX1	11774
LILRA4	11775
PLIN1	11776
BAG4	11777
CTAGE5	11778
JHDM1D	11779
NFS1	11780
NPFFR1	11781
ZNF536	11782
PLA2G2F	11783
NT5DC2	11784
CAPN1	11785
CD3G	11786
MAPK3	11787
EHHADH	11788
SMPDL3A	11789
ALPK1	11790
IFNAR1	11791
OR2J3	11792
FAM110D	11793
S100A9	11794
TTC40	11795
ERMAP	11796
SHROOM2	11797
DPY19L4	11798
KLF7	11799
UPF3B	11800
ADRA1B	11801
AP1AR	11802
UPP1	11803
C14orf45	11804
SMYD2	11805
IRF8	11806
EEF1E1	11807
C3orf27	11808
GGT5	11809
SHANK1	11810
GMPR2	11811
WDR4	11812
NAGPA	11813
MFAP4	11814
AR	11815
HIST1H3D	11816
BDKRB2	11817
ZNF10	11818
KAT7	11819
IRX5	11820
PRKCD	11821
ZZZ3	11822
CIDEC	11823
ARHGDIB	11824
LAMC3	11825
AMZ2	11826
CIDEA	11827
DEFB126	11828
ABCG4	11829
TFB1M	11830
PPP2R2A	11831
EIF3E	11832
TESK1	11833
PPT2	11834
XPO4	11835
SH3D21	11836
HOXB1	11837
IL5	11838
P2RY2	11839
BST2	11840
SLPI	11841
PRDX1	11842
NACC2	11843
PIK3R2	11844
C10orf2	11845
APOC3	11846
C17orf63	11847
HTR1D	11848
BZRAP1	11849
EMX2	11850
ATP6V0B	11851
FAM86A	11852
TBCEL	11853
SCGB2A2	11854
REL	11855
STATH	11856
IMPDH1	11857
MTHFD2L	11858
EPHA7	11859
SMG1	11860
FLVCR2	11861
ZDHHC8P1	11862
SLC35F2	11863
x
	(+/-)-catechin
IGFBP2	11664
ATF7IP	11665
KIAA0196	11666
SEC14L2	11667
REN	11668
SLC27A3	11669
GOLGA5	11670
PLCL1	11671
AFAP1	11672
PPP1R14D	11673
GNPTAB	11674
PPIP5K1	11675
EHD4	11676
C9orf46	11677
HDC	11678
BAHD1	11679
IGSF6	11680
MAP4K4	11681
SMG6	11682
EMR3	11683
CAV2	11684
OLR1	11685
CHM	11686
REG1B	11687
C14orf102	11688
AHSA1	11689
EIF2B3	11690
CTRC	11691
ZXDB	11692
FASTKD3	11693
S100A5	11694
TFPI2	11695
ZNF259	11696
NRBP1	11697
DNASE1L1	11698
GPX7	11699
CRYBB1	11700
ARR3	11701
FBXL4	11702
OXA1L	11703
ANKMY2	11704
DNASE2B	11705
CASP5	11706
YEATS2	11707
NRSN2	11708
ZIC1	11709
RGCC	11710
NUP133	11711
ZNF266	11712
IGLL3P	11713
GAL3ST4	11714
HLA-DMA	11715
LILRA5	11716
CRADD	11717
UTP20	11718
RASL11B	11719
CRYGD	11720
CERS4	11721
RPS6KB2	11722
TAAR3	11723
WNT2	11724
WASF3	11725
ZC3H12A	11726
UBTD1	11727
TBRG4	11728
BCL9	11729
RUFY1	11730
MRPL35	11731
C7	11732
PTPRS	11733
MOK	11734
ZNF384	11735
SI	11736
RBMY2FP	11737
MED28	11738
ZNF571	11739
AGBL5	11740
IGHV1-2	11741
NCK2	11742
PECR	11743
SCG2	11744
CMTM6	11745
TALDO1	11746
IFNA8	11747
SUN2	11748
KLC2	11749
DCXR	11750
ZNF423	11751
PTCD2	11752
TSR2	11753
DHX58	11754
BRS3	11755
ATAD5	11756
C1R	11757
OTUD3	11758
CTDSP1	11759
CLPS	11760
EFHD1	11761
DNMT3L	11762
RPL34	11763
PARP8	11764
RRN3	11765
KIAA0355	11766
ASPA	11767
INHBC	11768
NUDT9	11769
STK16	11770
CYP2A6	11771
ZC3H11A	11772
PRG3	11773
SDR39U1	11774
C14orf118	11775
DDX10	11776
CHPT1	11777
WNT11	11778
EIF4H	11779
BRIP1	11780
CRYBA1	11781
KRT37	11782
GMPR2	11783
SEMA6C	11784
SCARF1	11785
HTT	11786
FAT4	11787
RPS29P28	11788
TESK1	11789
PPIA	11790
DECR2	11791
EXOC2	11792
STK38	11793
KANSL1L	11794
UPK1A	11795
PHLPP1	11796
IL36RN	11797
AKAP5	11798
UGP2	11799
ZBTB7C	11800
SPINT2	11801
FAM173A	11802
C1orf112	11803
CHST7	11804
PLIN2	11805
OR7E111P	11806
NDUFA4	11807
LGSN	11808
UHRF1BP1L	11809
HIST1H2BB	11810
TRAV13-1	11811
NEUROG3	11812
DNM2	11813
NUFIP1	11814
CDKL1	11815
CD1A	11816
SSTR4	11817
IGHV3-73	11818
YTHDF3	11819
FAN1	11820
PMEL	11821
BCHE	11822
DDX25	11823
CTSW	11824
NDOR1	11825
LRRK1	11826
OR1F2P	11827
LGALS3BP	11828
C8orf71	11829
GNA12	11830
LRP2BP	11831
PIWIL1	11832
RPLP2	11833
RAB17	11834
HHAT	11835
SLCO1B3	11836
ZNF334	11837
TMED1	11838
ASPHD1	11839
MFHAS1	11840
TMEM209	11841
HP1BP3	11842
ADAP2	11843
CTGF	11844
ORMDL2	11845
CHMP3	11846
ZNF518A	11847
FAM86A	11848
ZNF155	11849
SERPINB5	11850
RNF125	11851
ZNF175	11852
SPTBN2	11853
PHKG2	11854
CAPG	11855
ADAMTSL3	11856
TPRKB	11857
MXRA5	11858
ASCC1	11859
CYP26B1	11860
CGRRF1	11861
BABAM1	11862
RALYL	11863
x
	(-)-MK-801
AKR1C4	11664
PTPN9	11665
NLGN3	11666
APLP1	11667
GUCY2D	11668
LIN7A	11669
GRIP1	11670
SNRPD2	11671
GRAP	11672
FXN	11673
ABCG4	11674
CDKL1	11675
CENPE	11676
SLC43A1	11677
TMEM106C	11678
C3AR1	11679
IRX5	11680
PPP1R17	11681
SLC9A7	11682
CHRNG	11683
TNFRSF8	11684
S1PR4	11685
IL37	11686
MSMO1	11687
KRT34	11688
OPLAH	11689
UGDH	11690
FBXL7	11691
PTMAP3	11692
NFKB1	11693
GPR126	11694
GIN1	11695
ESYT1	11696
WDR46	11697
SGPP1	11698
CD9	11699
KIF4A	11700
SBNO1	11701
PSORS1C2	11702
TEX14	11703
PRRG4	11704
APOBEC3F	11705
OSMR	11706
OR3A1	11707
RPA3	11708
SRY	11709
DDX4	11710
VTI1B	11711
RPE	11712
MYH9	11713
IER5	11714
PTDSS1	11715
PDCD1	11716
DSCC1	11717
OGDH	11718
ADCY7	11719
RNMTL1	11720
LCT	11721
ATP6AP1	11722
NIT1	11723
PGGT1B	11724
SERTAD3	11725
APH1A	11726
ASIC3	11727
CYP4F12	11728
SLC2A8	11729
FAM131B	11730
OXA1L	11731
STAMBP	11732
GCC1	11733
S100A6	11734
RBBP9	11735
SIRPA	11736
ANP32D	11737
ADAM18	11738
GSG1	11739
KCNA5	11740
AKR1C3	11741
KBTBD11	11742
SLC28A2	11743
C16orf57	11744
CELA2B	11745
FAM57A	11746
ATP1B3	11747
PODXL	11748
CTSD	11749
FGF16	11750
ATP6V0E1P2	11751
ECHDC2	11752
RAD54L2	11753
SNX15	11754
POLR3F	11755
UPF3B	11756
PRIM1	11757
CARS2	11758
RFNG	11759
C17orf39	11760
MYO5A	11761
CTDNEP1	11762
FTSJD2	11763
ACIN1	11764
AURKAIP1	11765
IGHV3-47	11766
DSG3	11767
TRAIP	11768
SMG9	11769
UXS1	11770
CSF2RB	11771
MGAT4B	11772
WDR52	11773
NUP85	11774
TMOD2	11775
GCH1	11776
EIF4A3	11777
RNASE2	11778
DIXDC1	11779
BIN3	11780
ARHGDIB	11781
KCNJ2	11782
CES3	11783
FAM114A2	11784
LMAN2L	11785
DNMT3L	11786
MEX3C	11787
ATP8B4	11788
PYGM	11789
HGFAC	11790
GOT1	11791
DNAJC2	11792
PTPRU	11793
HEXB	11794
C20orf4	11795
CD3D	11796
NUP155	11797
SYNC	11798
GAA	11799
ZNF711	11800
WNT11	11801
SUN2	11802
NOC4L	11803
CLPB	11804
EIF4A1	11805
ACP2	11806
ACAD10	11807
PSMB6	11808
PCBP1	11809
MPST	11810
ECSIT	11811
SETD5	11812
ZNF415	11813
AMZ2	11814
DHDDS	11815
FAM53B	11816
WNT3	11817
ZNF211	11818
C5AR1	11819
PARD6A	11820
REG1P	11821
GLT8D2	11822
XKR8	11823
RPL3L	11824
SLC1A3	11825
DAD1	11826
CRYGA	11827
HIST1H2BB	11828
HOXC10	11829
MCCC1	11830
UPP1	11831
BMP6	11832
INSL4	11833
LILRB5	11834
AOC2	11835
COL9A3	11836
HADHAP1	11837
SERPIND1	11838
CYTH2	11839
MKRN3	11840
DPYS	11841
TWSG1	11842
GALK1	11843
CDX4	11844
S100A2	11845
SNORA66	11846
OTOR	11847
FSTL1	11848
CLDN8	11849
UBE3C	11850
CLCN5	11851
CXCL11	11852
FDX1	11853
TSNAX	11854
ZXDC	11855
MMADHC	11856
TNNC2	11857
MSH2	11858
FAH	11859
TUBG2	11860
RASGRP3	11861
LIG1	11862
KRTAP9-9	11863
x
	(-)-atenolol
COLEC11	11664
NDC80	11665
PEX11B	11666
COMMD9	11667
LGSN	11668
NRSN2	11669
CDK20	11670
CRMP1	11671
ST6GALNAC5	11672
B4GALT2	11673
DNAJC2	11674
HIST2H2BE	11675
MDFI	11676
ZNF197	11677
DSPP	11678
ZNF227	11679
THAP1	11680
POLR3K	11681
GTF2H5	11682
MFSD1	11683
PDE6H	11684
RHOH	11685
NOC4L	11686
CIB1	11687
MYLK	11688
NEU2	11689
AZGP1	11690
GARS	11691
MMP26	11692
FLT3	11693
PTGES2	11694
ACTN4	11695
KIFC3	11696
C7orf10	11697
ATP6V1B2	11698
ZNF157	11699
PIP5K1B	11700
LY96	11701
ZNF384	11702
NTF3	11703
SCTR	11704
SLC17A1	11705
LYRM1	11706
TUBGCP3	11707
PBX2	11708
CD180	11709
MYRIP	11710
SERPIND1	11711
OR2H1	11712
GPX4	11713
BYSL	11714
CEP290	11715
AHCTF1	11716
INSL4	11717
SLC26A2	11718
KRT8P17	11719
SBNO1	11720
ZNF225	11721
RCBTB2	11722
ZBTB16	11723
DHRS11	11724
COL6A3	11725
IGF2-AS1	11726
GDF10	11727
NCAM2	11728
TAF12	11729
ZNF324	11730
C1orf95	11731
KCNN2	11732
GPR77	11733
IL5	11734
SETMAR	11735
MMP27	11736
PSMB8	11737
OR2J3	11738
BIRC7	11739
CYP1A1	11740
SLC9A8	11741
DPEP2	11742
FIGF	11743
TAS2R9	11744
BRD9	11745
PPFIA4	11746
ZBBX	11747
FAAH	11748
HIST1H3D	11749
IL1RL2	11750
ANKMY2	11751
RAPSN	11752
RPE	11753
C22orf28	11754
CD3EAP	11755
CIDEA	11756
KANK3	11757
SMG9	11758
IQSEC3	11759
LETMD1	11760
TSNAX	11761
ITGAX	11762
ETV4	11763
MAP1S	11764
CTC1	11765
KCNMB1	11766
CD79B	11767
PPYR1	11768
ZFC3H1	11769
UBQLN2	11770
NCK1	11771
ZFY	11772
DDX39B	11773
SFTPA2	11774
STK3	11775
VGF	11776
PCSK1	11777
CFHR5	11778
PAX1	11779
SCML2	11780
ATAD5	11781
C17orf63	11782
DMRT1	11783
URB2	11784
TMBIM4	11785
CCNK	11786
ZC3H12A	11787
SLC30A1	11788
GPR144	11789
GCH1	11790
IGHV3-47	11791
NAT8	11792
APOBEC1	11793
SEC16A	11794
CST6	11795
ZNF214	11796
LYPD1	11797
PDE6G	11798
TBR1	11799
ZCWPW1	11800
SYNC	11801
PIM1	11802
TBXAS1	11803
TRAPPC8	11804
PFKFB1	11805
PLIN2	11806
SLC5A5	11807
MCMBP	11808
P2RY2	11809
SLC38A3	11810
ITGB1BP3	11811
REN	11812
ETV3	11813
LINC00472	11814
TESK1	11815
RALYL	11816
MYO1A	11817
C21orf77	11818
GUCY1A2	11819
RAP2A	11820
DUS1L	11821
ZCCHC6	11822
GCKR	11823
METAP1	11824
DAZAP1	11825
ALS2CR8	11826
GSTO1	11827
TLE4	11828
GPNMB	11829
FAM82B	11830
GABRG2	11831
TOR3A	11832
RPS6KA4	11833
LYPD3	11834
TNS4	11835
ATP6AP1	11836
CLCN5	11837
GUCY2D	11838
LHX5	11839
PSMA3	11840
ABHD5	11841
INCENP	11842
COL21A1	11843
MSH4	11844
POLR3D	11845
STOML2	11846
ZNF184	11847
SNORA66	11848
MMP12	11849
RNF187	11850
THBS3	11851
MAMLD1	11852
HAAO	11853
PSMB3	11854
HMGB3	11855
MPHOSPH6	11856
HIST1H2BH	11857
IL36RN	11858
DBF4B	11859
INO80D	11860
MSH2	11861
C10orf57	11862
C17orf81	11863
x
	(-)-catechin
GPR176	11664
CDR1	11665
DDAH1	11666
LSP1	11667
ABCE1	11668
CLDN17	11669
MICB	11670
CLDN14	11671
ATP6V1B2	11672
SERPINH1	11673
RAD54L2	11674
FASTKD3	11675
ASNS	11676
CTDP1	11677
MEN1	11678
HIST1H2BF	11679
NRGN	11680
ITPA	11681
MED22	11682
DUSP4	11683
TAPBP	11684
SRSF6	11685
NCALD	11686
PTPN1	11687
EBI3	11688
SMARCB1	11689
PRKAR2B	11690
DOCK2	11691
MAP3K8	11692
RPS2P45	11693
NRD1	11694
HTR2B	11695
YTHDF3	11696
APOBEC3F	11697
PRKAG1	11698
POLD2	11699
CDH22	11700
TLR3	11701
RCOR3	11702
ST6GALNAC5	11703
C3orf52	11704
POPDC2	11705
C12orf44	11706
COASY	11707
TNS3	11708
TRIM46	11709
IL10RB	11710
DPPA4	11711
SHCBP1L	11712
GCHFR	11713
CDK4	11714
HERC1	11715
ASPA	11716
BAALC	11717
SHC3	11718
CD63	11719
FPGT	11720
LY96	11721
PCYT2	11722
GCNT4	11723
SNRPD2	11724
CYP2A6	11725
TRAPPC8	11726
FAM57A	11727
CCT7	11728
COL17A1	11729
KIF26B	11730
TEX10	11731
NEU1	11732
SLC39A4	11733
MORN1	11734
GNG7	11735
CACNA1E	11736
TMEM50B	11737
SV2B	11738
ATAT1	11739
KIAA0754	11740
GPR12	11741
CDKL1	11742
UGT8	11743
ZKSCAN3	11744
ZNF107	11745
PCTP	11746
MRM1	11747
ETHE1	11748
SLC35F2	11749
C8orf17	11750
TSPAN7	11751
SLC22A8	11752
DPP3	11753
HMHB1	11754
ACAT1	11755
NPHS1	11756
TBC1D15	11757
MMP12	11758
BEGAIN	11759
CXCL2	11760
HMGB3	11761
CETN2	11762
PLEKHA1	11763
INSL4	11764
LONRF3	11765
SLC5A1	11766
MRPL16	11767
C15orf44	11768
EDN1	11769
DPY19L1	11770
CRYBB1	11771
YEATS2	11772
USP32	11773
C12orf29	11774
UGT2A1	11775
HAVCR1	11776
PITPNM1	11777
ARL15	11778
HIST1H3G	11779
GSG1	11780
NCKIPSD	11781
NLK	11782
CDO1	11783
FHIT	11784
BNIP3	11785
ECHDC2	11786
HABP2	11787
TRIM22	11788
CCDC28A	11789
RANBP17	11790
PGM1	11791
HGFAC	11792
ARFIP2	11793
SOCS7	11794
POU2F3	11795
ZNF516	11796
IGSF1	11797
ECHDC1	11798
STT3A	11799
PAPOLB	11800
ADAP2	11801
GRIP2	11802
CNPY4	11803
CAMK1	11804
SDCCAG3	11805
SCD5	11806
C9orf78	11807
EEF1A2	11808
SLC6A13	11809
TSKU	11810
CD302	11811
SEPP1	11812
VRK2	11813
SPG11	11814
SCNN1D	11815
ZNF281	11816
NDUFB4	11817
SYN1	11818
AUTS2	11819
BDKRB2	11820
CASP5	11821
MMACHC	11822
PRKX	11823
AOC2	11824
FAM3C	11825
PRG3	11826
F2R	11827
DRP2	11828
FOXN1	11829
AKIRIN1	11830
WDR52	11831
TAF7L	11832
TSPYL5	11833
CENPO	11834
CPN2	11835
SETD5	11836
TERF2IP	11837
TNFSF9	11838
FHP1	11839
SCYL2	11840
SCGB1D1	11841
S100A2	11842
AMT	11843
UBIAD1	11844
DAZAP1	11845
GPR87	11846
NUP107	11847
USP10	11848
PLIN2	11849
KLF11	11850
VHL	11851
C7orf10	11852
PLCG2	11853
FAM131B	11854
PPM1D	11855
CNNM4	11856
NTS	11857
PLEKHA2	11858
REEP2	11859
RAB23	11860
FDPS	11861
TMEM127	11862
OR2F2	11863
x
	(-)-isoprenaline
NKIRAS2	11664
CEP55	11665
TPRKB	11666
ZNF394	11667
CRISP3	11668
TNFRSF1A	11669
PIGQ	11670
ZNHIT2	11671
C18orf8	11672
IMP4	11673
NBR2	11674
ZDHHC4	11675
SLC9A3	11676
ABCG5	11677
CEMP1	11678
AMBP	11679
RPLP2P1	11680
MYO1C	11681
PLIN3	11682
SGCG	11683
CARD8	11684
PLIN2	11685
ACP5	11686
NDUFA3	11687
CTSE	11688
TCEAL4	11689
SMO	11690
GZMK	11691
DCXR	11692
SCAND1	11693
GC	11694
SOX18	11695
GRHL2	11696
ZNF259	11697
RRAS2	11698
CLDN16	11699
TAF9B	11700
CRNN	11701
WRAP73	11702
TPO	11703
ROBO3	11704
LGR4	11705
CHMP3	11706
WDR41	11707
CD19	11708
PTGER4P3	11709
HMG20A	11710
RPL3L	11711
SLC18A2	11712
KIAA0754	11713
FBXO3	11714
C10orf68	11715
STATH	11716
LILRA3	11717
NBEAL2	11718
FLT4	11719
SCRN3	11720
MSH2	11721
CTSH	11722
ATP5B	11723
MAP2K1	11724
FOXC2	11725
ZBBX	11726
RTDR1	11727
