x
	(+)-chelidonine
DPYS	5479
GSTK1	4738
FOXJ2	6561
LOX	6265
UNC119	6078
PAX3	4949
RELA	4769
MSX1	4562
SGCB	8570
WDR78	4524
SLC2A3	7024
GCN1L1	7851
TMEM39A	4933.5
FUZ	6528.5
HIST1H2AC	8300
BAZ1B	5244
TGFBR3	5963.5
GZMM	7841
DDAH2	6946
ZNF81	4969
CNOT2	3169
PRNP	5913
SNORD58C	5859
VPS11	3523
MARCH5	6649
SIGLEC6	5125.5
LSP1	6322
DTNA	5830
ARPC1B	4482.5
MAP3K9	5903
TAT	7743
STOML1	4420.5
GUCA1A	5572
EDF1	8175
SFTPC	5039
UBXN4	4699
COG5	5079
C14orf1	6929
PRPF38B	5719
KRTAP2-4	6679
PCID2	6538
RNF187	4422
CACNB4	7434
ADAR	4537
SEMA6A	5982
RASA3	5580
ATP5D	7398
CD83	7911
MRPS18B	3263
C5orf45	5977
HIPK3	6956
THY1	4042
TESC	7004
SLC17A2	6458
HPS4	3097
MYH7B	3649
ING2	3767
DPEP2	8293
MTMR3	5889
SP3	3961
UBE2D3	4299
PPP6C	5729
GPC5	6347
LGALS14	5435
MARK2	8085
CEACAM8	5176
MTUS2	3965
TFRC	7405
NF1	5033
RANBP3	8709.5
SERPINH1	6135
CLDN14	6602
TAOK2	3128.5
RPH3AL	8217
PHKG1	3280
ZNF345	3553
DNAAF1	6669
RHOG	3579
RS1	4623
SLC25A11	7605
RAB5C	3674
PGLYRP1	7178
MRPS7	6193
DNM1L	8582
ARPC2	8577.5
GJD2	8682
BTF3P11	7425
FTSJ1	5666
DEK	4790
TXNL1	3797
DCAF8	5027
DALRD3	7047
DOM3Z	8172
TRIM3	4147
TPM1	5070
RRM1	8038
POGZ	5748
NET1	5500
ZNF668	8458
DPF3	7528.5
KCNN3	3079.5
BBOX1	5037.5
COL9A3	4526
EEF1D	4655.5
LRMP	8606
NELL2	6324
KIAA1609	7003
PDE10A	3218
GALR2	4596
NOTCH3	4940
EDEM3	5378
CD36	6203
CDKN2A	3949.5
GLA	3840
ENO1	8563
SOCS1	7764.5
KCNJ1	4211
YWHAZ	5075
ASAP2	8242
RWDD2B	3999
POLR2H	8274
OAZ1	4536
MOCS3	4700
SLC7A11	5923
CDC40	4661
BCAR3	5614
ZDHHC18	5846
GRIK5	4900
CYP3A43	3585
CDCA8	4329
ARCN1	7447
FABP7	4210
ANPEP	8228
CD19	8794.5
E2F2	8499
GGA3	8148
RNF114	4855
MPHOSPH6	8691
HIST1H2BF	4844
IFNGR2	4473.5
DNAJC10	8718
ZKSCAN5	7334
FOLR2	4540
HLA-B	5341
PNPLA2	5417
SEMA3E	3988
RMND5B	7985
TYRP1	7378
SKAP2	6395
MUC4	3589.5
IQSEC1	8668
RNLS	4340
PCNT	7585
HIST1H1A	8072
USP39	5207
