x
	(+)-chelidonine
RAB4A	4233
SCD5	5802.5
PHKA2	6533
ANKFY1	8241
SAMD9	4087.5
RAB1A	4432
ZNF480	8505
HS3ST1	3558
TRIM58	7810
TNIP3	7324
CA14	3621
SNX10	7475
SLC10A1	3414
TNFSF11	3329
COPA	7474
DEF8	7313
SOX10	6613
AICDA	6067
HOXB9	4289
TUBG2	6240
EPHA3	6939
METTL21B	8375
DNAJC7	3049
SEC24A	4812
MASP1	7346
EIF4G2	5268
RPS17P5	7221
MYO10	5437
ARHGAP32	6528.5
SAV1	4936
FOXL1	4362
ZFP36L2	5392.5
LYVE1	6681
ERCC2	5966
FCAR	4087.5
SCGB1D1	4065
ADARB1	4110
UBL4A	8068
ENO1	8563
TUBA3C	6233
COQ7	7930
EPS15	3830
BCAS4	3562
ZNF35	4061
CHST12	3646
AARSD1	8782
LYPLA1	3851
IFI30	3919
OR7C2	4762
OGG1	6661
ATAT1	8138
SLC25A32	5007
ZDHHC4	4415
CEP76	4818
FBXO9	7245.5
H2AFY2	4076
GPR4	5934
HIST1H2AE	3053
NKX3-1	4604
NUP98	7907
RNF186	3494
MYCNOS	6274
SECISBP2L	3805
KLHL24	6391
SH3BP1	3341
RRNAD1	6639
RHOA	5480
COQ6	8329
PDLIM2	5402
COPS4	4825
NADK	8761
ADAM29	8408
N4BP2L2	7120
ERMAP	4541
UBE2N	8288
APP	6526
UPK1B	5328
DDX5	5375
BCL7C	6195
CCDC101	3626
HIST1H1B	4430
SMARCB1	7609
RPH3AL	8217
SLC6A2	6741
TINAGL1	5637
TRAV27	8558
EREG	3817
FGF7	8278
NAT8	4931.5
TRMT1	8555
AFAP1	3460
ATP6V1H	4772
KIFC1	3478
MUS81	6113
CCL5	6785
OXR1	8456
TSPAN8	8298
SUPT6H	7840
SLC16A6	3555
PARP11	4037
x
	(+)-isoprenaline
MAN1B1	7493
TMEM87A	8711
ST8SIA5	8806
LINC00342	6595
ARHGAP4	4885
CORO1C	4512.5
SRPX2	5220
PEX1	5934
SRR	4381
CLIP4	8659
ANO1	4247
ETS2	6389
MYO16	7960.5
CNOT4	8270
IDH3G	4987.5
ZNF407	7889
ST20	3197
IL10RA	8496
TSSK1B	4976
FBXO21	4627.5
WDR60	4278
DDX17	3219
NBEA	8134
TMEM80	5574
GAMT	6351
HOXB6	4369
ANKRD12	6563
SLC16A1	7013
DCHS1	8435
PPP1R16B	4794
ITFG2	6329
TSPAN32	7351.5
EGLN3	8571
IFIH1	5361
AQR	5077
EDNRB	7503
BTF3	7814
CEP70	4602
HLA-DOA	6174
ARC	3217
TENC1	5425
NOLC1	7365
BSN	3678
ZNF696	7827
MARCKS	5419
SSTR5	5057
C21orf62	7346
MYH9	5369
TUG1	3579
RPS29	6619
TRIM52	3479
SLC7A11	8186
SLC37A1	6217
SEC23A	7333.5
KHDRBS1	6530.5
SLC9A7	6689.5
MRS2	6828.5
TF	3597.5
CAPZB	3235
MOS	7598
P2RX1	7337
ADRA1A	5796
SEPHS1	7844
ANKRD26	4496
TXNL4A	4355
DENND1C	7942
ARID4B	5466
GPN1	6596
DLGAP2	5762.5
BCORL1	8690
NT5C	4730.5
CACNA1C	3099
ANXA2P1	6158
RHCG	7969.5
MDM1	5755
C21orf7	4905
PSMC3	8668
DAP3	7344
CYP11B2	6069.5
SON	5964
SMAD3	3839.5
TBL3	3068
CLDN8	7299
SEMA3G	7919
CLCN4	7470
DAO	8375
NFAT5	6885
PEG3	7129
RPE65	5957
HOXA10	7018
ZFY	4156
ANKRD17	4023
CASP7	7075
ABCC5	6954
CYFIP2	6837
DOCK10	7498
PMS1	4768
GTPBP2	6353
ZNF510	5108
NUP188	6609.5
x
	(+/-)-catechin
SYNE2	7561
ZC2HC1A	7866
WFS1	6884
POLRMT	6095
DCTN5	3521
ASPN	8653
UGDH	3442
ALG6	7221
CRELD1	4594
ANKRD17	3975
CLCN7	6481
MFI2	4429
BCMO1	4513
WDR7	7117
ERCC6	4453
CIRBP	7143
EGFR	6675
CPVL	8297
LTN1	6489
TIMP3	4509
HRH1	6187
HNRNPH1	4532
CTSF	7484
MAB21L2	7333
EPB41L2	6244.5
GCNT4	3199
XRCC2	6425
VAMP7	4430.5
SLC17A5	7634
SLC17A7	4403
SLC5A4	4091
PQLC3	6455
KIAA0125	8715
TESC	5942.5
ZNF672	5953
RAB14	8829
NHLH2	3380.5
WAC	7070
FXYD5	8566
SIAH2	4841.5
SOX5P	3882
DPYSL3	6126
IL1RAPL2	8216
COL18A1	3530
MCM7	6702
OGFRL1	6295
LARP6	3044.5
GRAP	6370.5
TBR1	4111
MICALL1	6865
COQ7	8411
GRIK3	3094
P4HB	5150
NCS1	4027
ADAM19	5124
HTR2B	3051
OR12D2	4061
SQRDL	3365
ZNF184	5567
CCDC40	3217.5
PNMA3	4129
LEPROTL1	6335
SERPINB4	3151
CPQ	4857
TBC1D15	6834
ZNF83	8222
LPCAT1	7716
PERP	6716
BCL11B	6098
SLC5A1	6977
PRMT2	4868.5
COL3A1	4539
IPP	7575
CLSTN3	4416
MAGIX	3324
ESRRA	4530
CDC14B	6789
STX10	3366
NUP85	3973
HSPA13	7554
NUP205	3112
RAD51AP1	5304
AKAP1	5512.5
LRRC47	6136
BRE	5397
ATP6V1D	8460
ITPKC	8578
ERBB3	7077.5
ARAP2	7367
SURF2	3064
RORB	6590
LARGE	4216
VCP	7336
ATP8A1	3299
MED22	7880
RPL18AP16	4987
EPB41L1	3692
ARHGEF9	6163.5
ADAM20	7481
FARS2	7564
x
	(-)-MK-801
ATXN10	5858
POLG2	7995
CXCL14	7002
PPP2R1B	5359
SMG5	6015
ARHGEF12	6804
EZH2	8276
STXBP6	4798
KLF9	7433
TRAPPC11	7969
CPQ	3894
SMEK1	7975
PKM2	6995
TMEM208	5341
UCHL5	8523
NPY2R	6109
ZFAND1	4097
FAM134B	3690
RTN4	7176
TTF1	5978
ROS1	5066.5
PTP4A1	7221
ZNF471	8508
CHAF1A	5156
TGS1	8012
FGG	5964
KDM6B	4514
ALDOAP2	8371
TRMT61A	7298
COL4A4	5939
MPPED2	5533
TMEM242	8782
NECAP2	8519
KIF25	5522
VARS	6835
PLEKHM1	5595
ATF5	7699
PINK1	6082
KIAA0556	8408
CDC16	3730
FZD6	5365
GAR1	5281
N4BP2L1	3078
