x
	(+)-chelidonine
RGR	11764
NDUFB8	11765
TNFRSF1A	11766
LSM1	11767
JHDM1D	11768
GPR18	11769
STRAP	11770
TRPS1	11771
TMEM50B	11772
CTF1	11773
SAMSN1	11774
NAP1L4	11775
HAVCR1	11776
SETD5	11777
FKTN	11778
KRTAP9-9	11779
SLC4A8	11780
TMCC2	11781
HOXD4	11782
ARPP21	11783
TRPM4	11784
HHLA1	11785
C8orf4	11786
PTCH2	11787
CDADC1	11788
TBC1D12	11789
SHANK1	11790
SGPP1	11791
SMARCD2	11792
SERPINB5	11793
PRR5L	11794
ACTN3	11795
EVI2B	11796
FGD2	11797
SEMA6C	11798
POU2F3	11799
THUMPD2	11800
KCNJ2	11801
NDUFB11	11802
PTPLAD1	11803
CLGN	11804
CHRNA6	11805
CD63	11806
ISLR	11807
HTR3B	11808
SLC26A4	11809
NEU2	11810
RETN	11811
TXLNG	11812
THAP11	11813
SHH	11814
RPL37	11815
CITED1	11816
PLS1	11817
CFL1	11818
PFDN2	11819
GPS1	11820
POLDIP2	11821
LEMD3	11822
JRKL	11823
DNA2	11824
DIRAS2	11825
DNASE1L1	11826
FAM92A1	11827
SDR39U1	11828
LEP	11829
HERC1	11830
EDIL3	11831
ZXDB	11832
PROL1	11833
PRRG4	11834
ID3	11835
SERPINB10	11836
VENTXP1	11837
SLC9A2	11838
CYCSP33	11839
CSNK2A2	11840
BORA	11841
TINF2	11842
GABRG2	11843
RPUSD2	11844
TTC1	11845
TTLL12	11846
PRG4	11847
CREB3	11848
FA2H	11849
ARL15	11850
EGFL6	11851
APLP1	11852
HIST1H3C	11853
TUBB4B	11854
ATP5E	11855
PIP5K1B	11856
SH3YL1	11857
TNFSF4	11858
IMPA2	11859
ITPKB	11860
C17orf62	11861
PRAME	11862
MX1	11863
x
	(+)-isoprenaline
SLC6A11	11764
SLC30A1	11765
VDAC1	11766
CHRNA9	11767
TDP1	11768
FSTL3	11769
LGSN	11770
HIST1H3C	11771
NOS1AP	11772
SHOX	11773
SSX1	11774
LILRA4	11775
PLIN1	11776
BAG4	11777
CTAGE5	11778
JHDM1D	11779
NFS1	11780
NPFFR1	11781
ZNF536	11782
PLA2G2F	11783
NT5DC2	11784
CAPN1	11785
CD3G	11786
MAPK3	11787
EHHADH	11788
SMPDL3A	11789
ALPK1	11790
IFNAR1	11791
OR2J3	11792
FAM110D	11793
S100A9	11794
TTC40	11795
ERMAP	11796
SHROOM2	11797
DPY19L4	11798
KLF7	11799
UPF3B	11800
ADRA1B	11801
AP1AR	11802
UPP1	11803
C14orf45	11804
SMYD2	11805
IRF8	11806
EEF1E1	11807
C3orf27	11808
GGT5	11809
SHANK1	11810
GMPR2	11811
WDR4	11812
NAGPA	11813
MFAP4	11814
AR	11815
HIST1H3D	11816
BDKRB2	11817
ZNF10	11818
KAT7	11819
IRX5	11820
