x
	(+)-chelidonine
PHLDA3	1
ZNF259	2
AKR1C3	3
ZNF124	4
NUDT9	5
STARD8	6
BMP15	7
ZNF692	8
BANK1	9
SH2B2	10
APOC4	11
FBXL12	12
C22orf26	13
EYA3	14
TGIF1	15
DHX16	16
SACS	17
NT5C2	18
TM4SF20	19
KIAA0087	20
PDZK1IP1	21
ZFHX2	22
ODC1	23
ZCCHC8	24
SNX6	25
WRAP73	26
ZNF189	27
COX6C	28
ALG3	29
SCTR	30
HDAC3	31
CATSPERB	32
ARHGDIB	33
CDKN2B	34
COMMD3	35
ZFYVE21	36
ZNF557	37
ANKRD10	38
OR2H1	39
TAF1A	40
FKBPL	41
DCAF6	42
STATH	43
NGFRAP1	44
DRD4	45
BTBD1	46
MPV17	47
POLR3D	48
CLK1	49
PADI3	50
HTN1	51
ARHGAP44	52
TP73	53
ARHGEF18	54
HIST1H3J	55
RNF43	56
PDE6H	57
FKBP5	58
CPSF7	59
LZTR1	60
CYB5R1	61
C1orf159	62
HNRNPH2	63
GPX4	64
YARS2	65
WBP2	66
CYP1A1	67
PAQR4	68
TNNI3	69
NANS	70
CYSLTR1	71
MYBBP1A	72
PGK2	73
POLE	74
PCDH17	75
OBFC2B	76
TIGD6	77
CASP7	78
REPIN1	79
DCHS2	80
CDK5R2	81
IGHV3-72	82
LAMB3	83
DEAF1	84
CTSL1	85
UBAC1	86
PLBD1	87
CSTF2	88
IL15RA	89
HARS	90
CNN2	91
POLR2I	92
CDKL3	93
IKZF2	94
GCNT1	95
CLTCL1	96
TAF5	97
FRMD1	98
MAGEB2	99
ZZZ3	100
CXCL10	101
GDF3	102
MT1E	103
MFSD5	104
AMHR2	105
LSR	106
PRDM11	107
FBXO3	108
CIR1	109
MMP13	110
TP53BP2	111
MOXD1	112
TERF2IP	113
KIAA0753	114
GRWD1	115
NARG2	116
GPX7	117
POLR3F	118
CNTN1	119
DENND4B	120
GFOD1	121
WBSCR22	122
HIST1H3B	123
SLC2A8	124
SLC10A3	125
ST8SIA1	126
HOXB13	127
ADAMTSL3	128
CCNL1	129
IL19	130
ATP11A	131
CYP2A6	132
PARP12	133
CHST1	134
GSTM5	135
RAI2	136
NDUFAF4	137
PFKFB1	138
C2orf18	139
BUD31	140
VAV2	141
SULT1A2	142
LGMN	143
ADAMTS3	144
ETFA	145
KRT2	146
CD5	147
PRRG2	148
COPZ2	149
MTTP	150
USP53	151
MKNK2	152
ZCCHC6	153
TEX11	154
ZNF423	155
HTR1F	156
CCDC144A	157
DNAJA1P4	158
CH25H	159
SMU1	160
SCARA3	161
CHRNA10	162
PIK3R5	163
PNRC1	164
FAM192A	165
NLRX1	166
CNPY2	167
PCCA	168
GOLGA5	169
KIFC3	170
FCGR2B	171
FNBP1L	172
MEAF6	173
TOB1	174
RBFOX1	175
ITGB1BP2	176
PLA2G16	177
TAGLN2	178
STX18	179
LY96	180
TBCEL	181
RRAGA	182
HEYL	183
TLE6	184
IGFBP2	185
CRYL1	186
RDBP	187
ICAM5	188
ASF1B	189
MCHR1	190
GZMA	191
DLEU1	192
CNPY4	193
CDCP1	194
BNIP2	195
A2M	196
MID2	197
SLC17A1	198
TRMT2A	199
ADAM21	200
x
	(+)-isoprenaline
LEPRE1	1
RAPSN	2
TMEM208	3
CD3E	4
B3GALT1	5
CEMP1	6
IGHV3-72	7
QSOX1	8
AURKC	9
SNX5	10
MRPL39	11
DCUN1D1	12
NDUFAF4	13
PSMD2	14
PSMG2	15
GADD45G	16
BEX4	17
SPATA1	18
EIF3D	19
NPLOC4	20
BAHD1	21
GPR35	22
FBXW7	23
GABRR1	24
TLR6	25
VGF	26
FCN2	27
C20orf7	28
HSD3BP2	29
CST7	30
ZNF556	31
PDGFRB	32
C17orf39	33
PLEKHO2	34
GRAMD3	35
CRYAA	36
EFHD2	37
NUDT1	38
ENOX1	39
PMF1	40
WWC2	41
IFI6	42
COCH	43
GABRB1	44
SEC61A1	45
DOCK3	46
CDC42BPB	47
ZFPM2	48
PHKA1	49
SEC24B	50
LBR	51
SUOX	52
MANF	53
HIGD1B	54
RTP4	55
MEAF6	56
ZNF37BP	57
HRC	58
NRIP3	59
UBE2W	60
CMPK1	61
SPP2	62
GDAP1L1	63
NSF	64
COL21A1	65
POU4F2	66
SLC25A5	67
ERBB2IP	68
FCGR2B	69
CBR1	70
CRYBA1	71
CECR5	72
SLC19A3	73
MYO1D	74
ZFYVE21	75
GIT1	76
RPL36AL	77
RPL10	78
PRDM11	79
KRTAP1-3	80
DNM2	81
CTPS2	82
RABEPK	83
POLR1D	84
IKZF2	85
FBXO5	86
DGCR5	87
HOXD1	88
