x
	(+)-chelidonine
PTPN12	3434
MYO15B	5780
B3GNT3	5995
SIRPB1	7472
FBN1	4118
ERI2	8838.5
SAMD4A	4059
HMGB3	3202
ARPC4	7325
MAP2K7	5707
CYP4B1	4571
ENDOG	4171
MYO1C	8046
DOK3	4166
CNTN6	5800.5
ARHGEF17	5586
TIA1	6144
GLYR1	6719
SOCS6	6916
NRXN1	6327
SMAD4	7552
AQP3	7897
C9orf40	5738
COL5A1	3115
FLOT1	4554
TPRKB	4782
SNX4	3814
DAB2	3310
C1orf135	3712
NUP50	6825
SLC2A3	7024
ADAM7	6381
SSTR4	7379
RNASE2	7349
NADK	8761
DENND4C	4140
ARMC8	4510
GJA3	6478
BTN3A2	3255
KDELR2	5264
SPTSSA	8753
SYNGR3	4621
DNAH3	5318
CYP2C19	7576
C11orf16	7669
DNMT3B	8463
TSC1	3897
ATP6V1H	4772
ANKRD5	3142
COPS6	7032
x
	(+)-isoprenaline
DDIT4	6470
LATS1	5458
CRYBA4	6987
MLXIP	4182
FAM83E	3769
CYP3A43	4749
TBL1Y	6009
ADH1C	3376
PLCB4	7796
RNF125	4026
ARL1	7298
MAPRE1	8501
SLC2A3	3159
SLC26A2	5316
SOX21	8807
PADI3	4260
SYN1	5620
DTX3	6852
DDR1	3144.5
CLEC4M	4082
TNNI3	4233
PIGL	3590
ZNF434	8508
SLC12A9	6048.5
PDS5A	3056
TRO	3371
KLHL22	5944
AACS	5406
GLIPR1	4531
JAK1	6729.5
TBC1D8	5452
OTUD7B	4169
U2SURP	8222
RAB27B	4643
TMEM59	3925
TREML2	7876
URB1	8344
PAPSS2	3438
DPP6	8338
PTGDR	4526
ATXN7	8777.5
SGCB	3776.5
HOXD10	8596
GOLM1	6974
TIGD1L	6487
ITGA7	5960
PLAGL2	7400
ZNF385D	5863
C15orf39	6958
ACTR3P2	5347
x
	(+/-)-catechin
NCAM1	3796
ARMC6	4438
ATP9A	8102
POFUT2	5024
SH2B3	4930
SPO11	6549
SEC14L1	8595
SH3GLB1	5462
DNAH9	7911
SCPEP1	6476
SDCCAG3	7903
COL4A2	3518
KRT9	5913
TEKT2	3892
MUC3A	3722
MYL1	5092
ZNF589	3603
ADH7	6679
SH3BGRL3	7761
TXN2	8281
CPNE3	6896
UFL1	7297
HPCAL1	3463
TMEM222	3648
UBE2O	8524
MED27	7955
B3GNT2	7500
KIAA0586	4488
BRF2	6415
RRP12	8424
WNT6	8061
FBXO3	3315
KNG1	4854
TRAF3IP3	6239
TBC1D8B	3607
