x
	(+)-chelidonine
PHLDA3	1
ZNF259	2
AKR1C3	3
ZNF124	4
NUDT9	5
STARD8	6
BMP15	7
ZNF692	8
BANK1	9
SH2B2	10
APOC4	11
FBXL12	12
C22orf26	13
EYA3	14
TGIF1	15
DHX16	16
SACS	17
NT5C2	18
TM4SF20	19
KIAA0087	20
PDZK1IP1	21
ZFHX2	22
ODC1	23
ZCCHC8	24
SNX6	25
WRAP73	26
ZNF189	27
COX6C	28
ALG3	29
SCTR	30
HDAC3	31
CATSPERB	32
ARHGDIB	33
CDKN2B	34
COMMD3	35
ZFYVE21	36
ZNF557	37
ANKRD10	38
OR2H1	39
TAF1A	40
FKBPL	41
DCAF6	42
STATH	43
NGFRAP1	44
DRD4	45
BTBD1	46
MPV17	47
POLR3D	48
CLK1	49
PADI3	50
x
	(+)-isoprenaline
LEPRE1	1
RAPSN	2
TMEM208	3
CD3E	4
B3GALT1	5
CEMP1	6
IGHV3-72	7
QSOX1	8
AURKC	9
SNX5	10
MRPL39	11
DCUN1D1	12
NDUFAF4	13
PSMD2	14
PSMG2	15
GADD45G	16
BEX4	17
SPATA1	18
EIF3D	19
NPLOC4	20
BAHD1	21
GPR35	22
FBXW7	23
GABRR1	24
TLR6	25
VGF	26
FCN2	27
C20orf7	28
HSD3BP2	29
CST7	30
ZNF556	31
PDGFRB	32
C17orf39	33
PLEKHO2	34
GRAMD3	35
CRYAA	36
EFHD2	37
NUDT1	38
ENOX1	39
PMF1	40
WWC2	41
IFI6	42
COCH	43
GABRB1	44
SEC61A1	45
DOCK3	46
CDC42BPB	47
ZFPM2	48
PHKA1	49
SEC24B	50
x
	(+/-)-catechin
SCNN1B	1
CIR1	2
PLCD1	3
AP5S1	4
TRMT2A	5
MMP20	6
ZCCHC6	7
MRPS2	8
UBA5	9
SETD3	10
ROS1	11
ASGR1	12
HTR1F	13
CST7	14
MED9	15
FOXL1	16
AACS	17
GNL3L	18
TUBB6	19
JUP	20
APOD	21
COPZ1	22
TOB1	23
TAF6	24
XAF1	25
PFAS	26
SLC35F2	27
SMAGP	28
PTGDR	29
IGKV1D-8	30
NNAT	31
SLC8A2	32
AEBP1	33
DUTP1	34
KIR3DL1	35
TMEM106C	36
OR7A5	37
AVPR1B	38
JPH3	39
CSF3R	40
G6PC2	41
GIT1	42
DLK1	43
DDOST	44
METTL18	45
RMI1	46
DOCK2	47
ANKRD49	48
ITK	49
ZNF132	50
x
	(-)-MK-801
TPSAB1	1
RPL11	2
BEX4	3
KIN	4
BCAP31	5
ABCC5	6
GIGYF2	7
CCDC33	8
AP3B2	9
BAZ2B	10
ARMCX4	11
APBB1	12
CP	13
ZNF141	14
NT5DC2	15
KCNJ14	16
B4GALNT1	17
CD300C	18
KAL1	19
ZNF117	20
CCL11	21
SIRT2	22
KLF7	23
CAPNS1	24
BCL2A1	25
SHBG	26
BCAS3	27
CECR5	28
FAM127B	29
RLBP1	30
UCN	31
TMPRSS11E	32
IFNW1	33
SURF2	34
KANSL1L	35
HIST1H2AL	36
VASP	37
GNAZ	38
NT5M	39
DNTTIP2	40
TPRKB	41
PAIP2B	42
DAB1	43
DIP2A	44
NCAPH	45
MIP	46
MYBPC2	47
STX4	48
GTPBP10	49
ZKSCAN4	50
x
	(-)-atenolol
EFHD2	1
B4GALNT1	2
TBCEL	3
TMED1	4
GSTM3	5
DCC	6
GCNT2	7
CALML5	8
CDKN2B	9
PARN	10
GTF2E2	11
PYGO1	12
KRT1	13
PTGES3	14
NTN1	15
TP53I3	16
RNF141	17
PERP	18
TRIM8	19
NGFRAP1	20
PLIN3	21
MTHFSD	22
CLK1	23
CD3G	24
RPL27	25
GTF2E1	26
PKIA	27
TSPYL1	28
TGM1	29
CNNM1	30
NPM1P22	31
MOGS	32
SLC9A6	33
A2M	34
KLK5	35
PCTP	36
RBM12B	37
TEX13A	38
DHX16	39
HOXA2	40
EMP2	41
PLK1	42
SENP2	43
WDR91	44
HSPB1	45
SLC4A8	46
BMPR1B	47
DDIT3	48
TSPAN12	49
SLC10A1	50
x
	(-)-catechin
MRPL19	1
LEP	2
CACNA1B	3
NDC80	4
TPCN1	5
OR7E24	6
SLITRK3	7
SYTL2	8
ZBTB11	9
TASP1	10
TSPO2	11
SREK1IP1	12
GTF2H3	13
C12orf51	14
TST	15
PRCC	16
PLA2G2F	17
CIDEC	18
VPS52	19
BCL2L2	20
SEMA6C	21
SLC22A14	22
GBX2	23
HHLA1	24
DDX25	25
TEX11	26
GPR18	27
TBXAS1	28
GTF3C3	29
CLCN6	30
SPON2	31
TXNDC15	32
PRDM16	33
NUDT3	34
CHAD	35
