x
	(+)-chelidonine
SHH	11814
RPL37	11815
CITED1	11816
PLS1	11817
CFL1	11818
PFDN2	11819
GPS1	11820
POLDIP2	11821
LEMD3	11822
JRKL	11823
DNA2	11824
DIRAS2	11825
DNASE1L1	11826
FAM92A1	11827
SDR39U1	11828
LEP	11829
HERC1	11830
EDIL3	11831
ZXDB	11832
PROL1	11833
PRRG4	11834
ID3	11835
SERPINB10	11836
VENTXP1	11837
SLC9A2	11838
CYCSP33	11839
CSNK2A2	11840
BORA	11841
TINF2	11842
GABRG2	11843
RPUSD2	11844
TTC1	11845
TTLL12	11846
PRG4	11847
CREB3	11848
FA2H	11849
ARL15	11850
EGFL6	11851
APLP1	11852
HIST1H3C	11853
TUBB4B	11854
ATP5E	11855
PIP5K1B	11856
SH3YL1	11857
TNFSF4	11858
IMPA2	11859
ITPKB	11860
C17orf62	11861
PRAME	11862
MX1	11863
x
	(+)-isoprenaline
MFAP4	11814
AR	11815
HIST1H3D	11816
BDKRB2	11817
ZNF10	11818
KAT7	11819
IRX5	11820
PRKCD	11821
ZZZ3	11822
CIDEC	11823
ARHGDIB	11824
LAMC3	11825
AMZ2	11826
CIDEA	11827
DEFB126	11828
ABCG4	11829
TFB1M	11830
PPP2R2A	11831
EIF3E	11832
TESK1	11833
PPT2	11834
XPO4	11835
SH3D21	11836
HOXB1	11837
IL5	11838
P2RY2	11839
BST2	11840
SLPI	11841
PRDX1	11842
NACC2	11843
PIK3R2	11844
C10orf2	11845
APOC3	11846
C17orf63	11847
HTR1D	11848
BZRAP1	11849
EMX2	11850
ATP6V0B	11851
FAM86A	11852
TBCEL	11853
SCGB2A2	11854
REL	11855
STATH	11856
IMPDH1	11857
MTHFD2L	11858
EPHA7	11859
SMG1	11860
FLVCR2	11861
ZDHHC8P1	11862
SLC35F2	11863
x
	(+/-)-catechin
NUFIP1	11814
CDKL1	11815
CD1A	11816
SSTR4	11817
IGHV3-73	11818
YTHDF3	11819
FAN1	11820
PMEL	11821
BCHE	11822
DDX25	11823
CTSW	11824
NDOR1	11825
LRRK1	11826
OR1F2P	11827
LGALS3BP	11828
C8orf71	11829
GNA12	11830
LRP2BP	11831
PIWIL1	11832
RPLP2	11833
RAB17	11834
HHAT	11835
SLCO1B3	11836
ZNF334	11837
TMED1	11838
ASPHD1	11839
MFHAS1	11840
TMEM209	11841
HP1BP3	11842
ADAP2	11843
CTGF	11844
ORMDL2	11845
CHMP3	11846
ZNF518A	11847
FAM86A	11848
ZNF155	11849
SERPINB5	11850
RNF125	11851
ZNF175	11852
SPTBN2	11853
PHKG2	11854
CAPG	11855
ADAMTSL3	11856
TPRKB	11857
MXRA5	11858
ASCC1	11859
CYP26B1	11860
CGRRF1	11861
BABAM1	11862
RALYL	11863
x
	(-)-MK-801
AMZ2	11814
DHDDS	11815
FAM53B	11816
WNT3	11817
ZNF211	11818
C5AR1	11819
PARD6A	11820
REG1P	11821
GLT8D2	11822
XKR8	11823
RPL3L	11824
SLC1A3	11825
DAD1	11826
CRYGA	11827
HIST1H2BB	11828
HOXC10	11829
MCCC1	11830
UPP1	11831
BMP6	11832
INSL4	11833
LILRB5	11834
AOC2	11835
COL9A3	11836
HADHAP1	11837
SERPIND1	11838
CYTH2	11839
MKRN3	11840
DPYS	11841
TWSG1	11842
GALK1	11843
CDX4	11844
S100A2	11845
SNORA66	11846
OTOR	11847
FSTL1	11848
CLDN8	11849
UBE3C	11850
CLCN5	11851
CXCL11	11852
FDX1	11853
TSNAX	11854
ZXDC	11855
MMADHC	11856
TNNC2	11857
MSH2	11858
FAH	11859
TUBG2	11860
RASGRP3	11861
LIG1	11862
KRTAP9-9	11863
x
	(-)-atenolol
LINC00472	11814
TESK1	11815
RALYL	11816
MYO1A	11817
C21orf77	11818
GUCY1A2	11819
RAP2A	11820
DUS1L	11821
ZCCHC6	11822
GCKR	11823
METAP1	11824
DAZAP1	11825
ALS2CR8	11826
GSTO1	11827
TLE4	11828
GPNMB	11829
FAM82B	11830
GABRG2	11831
TOR3A	11832
RPS6KA4	11833
LYPD3	11834
TNS4	11835
ATP6AP1	11836
CLCN5	11837
GUCY2D	11838
LHX5	11839
PSMA3	11840
ABHD5	11841
INCENP	11842
COL21A1	11843
MSH4	11844
POLR3D	11845
STOML2	11846
ZNF184	11847
SNORA66	11848
MMP12	11849
RNF187	11850
THBS3	11851
MAMLD1	11852
HAAO	11853
PSMB3	11854
HMGB3	11855
MPHOSPH6	11856
HIST1H2BH	11857
IL36RN	11858
DBF4B	11859
INO80D	11860
MSH2	11861
C10orf57	11862
C17orf81	11863
x
	(-)-catechin
SPG11	11814
SCNN1D	11815
ZNF281	11816
NDUFB4	11817
SYN1	11818
AUTS2	11819
BDKRB2	11820
CASP5	11821
MMACHC	11822
PRKX	11823
AOC2	11824
FAM3C	11825
PRG3	11826
F2R	11827
DRP2	11828
FOXN1	11829
AKIRIN1	11830
WDR52	11831
TAF7L	11832
TSPYL5	11833
CENPO	11834
CPN2	11835
SETD5	11836
TERF2IP	11837
TNFSF9	11838
FHP1	11839
SCYL2	11840
SCGB1D1	11841
S100A2	11842
AMT	11843
UBIAD1	11844
DAZAP1	11845
GPR87	11846
NUP107	11847
USP10	11848
PLIN2	11849
KLF11	11850
VHL	11851
C7orf10	11852
PLCG2	11853
FAM131B	11854
PPM1D	11855
CNNM4	11856
NTS	11857
PLEKHA2	11858
REEP2	11859
RAB23	11860
FDPS	11861
TMEM127	11862
OR2F2	11863
x
	(-)-isoprenaline
UGP2	11814
TUBA1A	11815
SIDT1	11816
SHH	11817
GMPPA	11818
C10orf81	11819
ERMAP	11820
COL6A3	11821
PRR15L	11822
PDZD7	11823
SETD3	11824
GABRR1	11825
ELANE	11826
WNT1	11827
CRYM	11828
PSMD2	11829
GOLGA8A	11830
TNFSF9	11831
POLR3K	11832
LGALS2	11833
FTSJD2	11834
CPSF7	11835
DNAJA2	11836
FAAH	11837
ZXDB	11838
ETNK2	11839
SERPINA6	11840
AFP	11841
LRIG2	11842
SLC14A1	11843
SLCO1B1	11844
PANX1	11845
COPE	11846
NOTCH1	11847
PMVK	11848
TTLL1	11849
MORN1	11850
YIPF3	11851
ZNF143	11852
PCDHB13	11853
MAGOHB	11854
TIMM10	11855
ATP6V1B2	11856
LEMD3	11857
MARCKSL1	11858
HOXC13	11859
C8orf39	11860
MTHFD2	11861
AKAP12	11862
PBK	11863
x
	0173570-0000
ZBTB7B	11814
MAP4K4	11815
CYP17A1	11816
ZNF232	11817
MCOLN1	11818
COPG1	11819
CA5BP1	11820
FDPS	11821
DDX5	11822
PAFAH1B3	11823
CPA1	11824
FXYD7	11825
STAG3	11826
UBXN6	11827
ATP6V0B	11828
ABCF1	11829
MOSPD3	11830
ZZZ3	11831
SLC2A10	11832
OR10H2	11833
PHYH	11834
GPRIN2	11835
SPINT2	11836
LCT	11837
ZNF281	11838
FBXO2	11839
IGLL1	11840
HIST1H2AC	11841
NDC80	11842
RAB4B	11843
SCGB2A2	11844
CCKBR	11845
SULT4A1	11846
KCTD5	11847
AGT	11848
FAH	11849
KLHL25	11850
SV2A	11851
TAF1A	11852
DNAH7	11853
CD38	11854
UNC5C	11855
APOL1	11856
SMYD3	11857
C1orf9	11858
ENAH	11859
UVRAG	11860
SOX14	11861
PRG4	11862
SLC22A14	11863
x
	0175029-0000
FDX1	11814
ZNF217	11815
LARP6	11816
RASSF8	11817
ABCG5	11818
RLF	11819
RPS6KB1	11820
ARID5B	11821
C1QTNF3	11822
PDXDC1	11823
NRD1	11824
PAX7	11825
TPBG	11826
SECTM1	11827
GEMIN8	11828
POU3F4	11829
HDHD1	11830
KRT15	11831
SAA3P	11832
IL23A	11833
ZFHX3	11834
LZTR1	11835
PRPF38B	11836
RPS6KC1	11837
RDH8	11838
MMP12	11839
SLC30A9	11840
NSMAF	11841
BCL9	11842
C19orf53	11843
ENTPD2	11844
NEK4	11845
NAP1L2	11846
ROBO4	11847
ESRRA	11848
STXBP1	11849
SCMH1	11850
HOXC11	11851
DAZAP1	11852
ARPP21	11853
ATOX1	11854
WDR37	11855
SYNC	11856
MRPL23	11857
GALK1	11858
F3	11859
KCNC3	11860
APOBEC1	11861
KLF1	11862
ADCK3	11863
x
	0179445-0000
HARS	11814
CPSF7	11815
SIL1	11816
ZFHX2	11817
SEC61A1	11818
TEX12	11819
MECR	11820
GNL1	11821
FZD3	11822
CRTAM	11823
KRT15	11824
FBXO34	11825
RNF186	11826
IGHV3-21	11827
FHP1	11828
HMGB1P12	11829
CTSA	11830
F13A1	11831
NRD1	11832
NEUROD2	11833
ESRRA	11834
SLC26A4	11835
PAFAH1B3	11836
GJB5	11837
ASXL2	11838
DYSF	11839
MOGS	11840
FXN	11841
POLB	11842
NOS1AP	11843
LINC00094	11844
SF3B4	11845
CXCL9	11846
RASGRP3	11847
LMNB1	11848
TNN	11849
STIL	11850
MFGE8	11851
POLD1	11852
ZFAND3	11853
HABP2	11854
MXRA5	11855
GPR176	11856
GUCA1B	11857
TNFSF4	11858
FAM57A	11859
MED28	11860
ROBO4	11861
SDC3	11862
WDR37	11863
x
	0198306-0000
KIF15	11814
LCMT1	11815
ALOX12B	11816
RNF130	11817
VRK2	11818
CEP72	11819
TUBG1	11820
DDX60	11821
LHX1	11822
PLK1S1	11823
NCALD	11824
SLC35C1	11825
EIF2C1	11826
TMEM74B	11827
PIN1	11828
SLC17A1	11829
SLC2A4	11830
HOMER2	11831
CRYL1	11832
GATA6	11833
MATK	11834
PRM1	11835
RARRES3	11836
NUDT9	11837
ACTN3	11838
MST1R	11839
MAGED1	11840
HDAC9	11841
OR7C2	11842
DDIT3	11843
CTNNA3	11844
SLC26A4	11845
SERPINB2	11846
OBFC2B	11847
