source	destinations_disconnected_to
ACE	KRT83	GPR27
KAPCA	KRT83	GPR27
NTKL	KRT83	GPR27
CALM	KRT83	GPR27
ACHA4	KRT83	GPR27
ANXA2	KRT83	GPR27
AURKB	KRT83	GPR27
GNAT3	KRT83	GPR27
CA2D1	KRT83	GPR27
CAH4	KRT83	GPR27
AK1C1	KRT83	GPR27
ROCK1	KRT83	GPR27
CHLE	KRT83	GPR27
J3QK85	KRT83	GPR27
ZAP70	KRT83	GPR27
UD14	KRT83	GPR27
S12A2	KRT83	GPR27
EST1A	KRT83	GPR27
VKOR1	KRT83	GPR27
XDH	KRT83	GPR27
ACHB4	KRT83	GPR27
RLP24	KRT83	GPR27
EDN1	KRT83	GPR27
GBRB3	KRT83	GPR27
TKT	KRT83	GPR27
NEU2	KRT83	GPR27
3HAO	KRT83	GPR27
RL10L	KRT83	GPR27
ADA1D	KRT83	GPR27
CANB2	KRT83	GPR27
KAP3	KRT83	GPR27
PANX1	KRT83	GPR27
ST2A1	KRT83	GPR27
UPP2	KRT83	GPR27
AK1D1	KRT83	GPR27
CAC1A	KRT83	GPR27
CUBN	KRT83	GPR27
THA	KRT83	GPR27
TBB5	KRT83	GPR27
CATA	KRT83	GPR27
RL3	KRT83	GPR27
PA2GE	KRT83	GPR27
HRH2	KRT83	GPR27
ATTY	KRT83	GPR27
S29A2	KRT83	GPR27
GBRT	KRT83	GPR27
ACHA3	KRT83	GPR27
CDK6	KRT83	GPR27
5HT7R	KRT83	GPR27
ADRB1	KRT83	GPR27
CP11A	KRT83	GPR27
CSK	KRT83	GPR27
5HT3A	KRT83	GPR27
AT12A	KRT83	GPR27
IOD3	KRT83	GPR27
PGFRA	KRT83	GPR27
A1AG1	KRT83	GPR27
TNFA	KRT83	GPR27
NFAC2	KRT83	GPR27
NOS2	KRT83	GPR27
5HT2B	KRT83	GPR27
HS90A	KRT83	GPR27
LCK	KRT83	GPR27
ADCYA	KRT83	GPR27
HS90B	KRT83	GPR27
ADA2A	KRT83	GPR27
CACP	KRT83	GPR27
RARA	KRT83	GPR27
PYC	KRT83	GPR27
CATL1	KRT83	GPR27
ACHA9	KRT83	GPR27
NH2L1	KRT83	GPR27
AAKB2	KRT83	GPR27
DCXR	KRT83	GPR27
CXCL7	KRT83	GPR27
KCNE1	KRT83	GPR27
B3GT4	KRT83	GPR27
ACES	KRT83	GPR27
SCNNG	KRT83	GPR27
HASP	KRT83	GPR27
MMP3	KRT83	GPR27
MET	KRT83	GPR27
AA2BR	KRT83	GPR27
PDE8A	KRT83	GPR27
5HT2C	KRT83	GPR27
AK1C3	KRT83	GPR27
OSTCN	KRT83	GPR27
NMD3B	KRT83	GPR27
CDK5	KRT83	GPR27
PPARA	KRT83	GPR27
DRD2	KRT83	GPR27
VGFR2	KRT83	GPR27
CP1A2	KRT83	GPR27
NGF	KRT83	GPR27
GBRA6	KRT83	GPR27
ACHA7	KRT83	GPR27
CP2C9	KRT83	GPR27
TBA1A	KRT83	GPR27
IL2RA	KRT83	GPR27
PPB1	KRT83	GPR27
PD2R	KRT83	GPR27
Q71TU5	KRT83	GPR27
DCE1	KRT83	GPR27
GBRG1	KRT83	GPR27
FGFR2	KRT83	GPR27
IMPA1	KRT83	GPR27
ACM2	KRT83	GPR27
IL8	KRT83	GPR27
5HT6R	KRT83	GPR27
KPCT	KRT83	GPR27
AOC1	KRT83	GPR27
PCNA	KRT83	GPR27
KSYK	KRT83	GPR27
CAH9	KRT83	GPR27
RL11	KRT83	GPR27
CACB3	KRT83	GPR27
HMDH	KRT83	GPR27
GBRA4	KRT83	GPR27
KIT	KRT83	GPR27
AOFA	KRT83	GPR27
NEP	KRT83	GPR27
GLYC	KRT83	GPR27
NCOA2	KRT83	GPR27
5HT1E	KRT83	GPR27
TBA4A	KRT83	GPR27
METH	KRT83	GPR27
LDHA	KRT83	GPR27
MK08	KRT83	GPR27
IGHG4	KRT83	GPR27
CP2CJ	KRT83	GPR27
RXRA	KRT83	GPR27
PA2GA	KRT83	GPR27
CP131	KRT83	GPR27
ACACB	KRT83	GPR27
PTHY	KRT83	GPR27
IL10	KRT83	GPR27
CAH2	KRT83	GPR27
OPRD	KRT83	GPR27
AAPK1	KRT83	GPR27
PDPK1	KRT83	GPR27
ADRB3	KRT83	GPR27
C11B1	KRT83	GPR27
GBRP	KRT83	GPR27
ROCK2	KRT83	GPR27
RL8	KRT83	GPR27
ADCY2	KRT83	GPR27
PHOP2	KRT83	GPR27
CAH12	KRT83	GPR27
S10A4	KRT83	GPR27
GRIK1	KRT83	GPR27
CBG	KRT83	GPR27
PRGR	KRT83	GPR27
HCAR2	KRT83	GPR27
DNMT1	KRT83	GPR27
PGH2	KRT83	GPR27
CAC1F	KRT83	GPR27
ADA2C	KRT83	GPR27
S15A1	KRT83	GPR27
ADA1A	KRT83	GPR27
A1AG2	KRT83	GPR27
OX1R	KRT83	GPR27
KCMA1	KRT83	GPR27
NMDE3	KRT83	GPR27
HIBCH	KRT83	GPR27
IPKA	KRT83	GPR27
S22AI	KRT83	GPR27
S29A1	KRT83	GPR27
HDAC1	KRT83	GPR27
PNPH	KRT83	GPR27
ADA2B	KRT83	GPR27
TRFL	KRT83	GPR27
ALBU	KRT83	GPR27
FMO3	KRT83	GPR27
PLK1	KRT83	GPR27
SGMR1	KRT83	GPR27
GUAA	KRT83	GPR27
QOR	KRT83	GPR27
GCR	KRT83	GPR27
CATD	KRT83	GPR27
