source	destinations_disconnected_to
ACE	NAA40	TULP2
KAPCA	NAA40	TULP2
NTKL	NAA40	TULP2
CALM	NAA40	TULP2
ACHA4	NAA40	TULP2
ANXA2	NAA40	TULP2
AURKB	NAA40	TULP2
GNAT3	NAA40	TULP2
CA2D1	NAA40	TULP2
CAH4	NAA40	TULP2
AK1C1	NAA40	TULP2
ROCK1	NAA40	TULP2
CHLE	NAA40	TULP2
J3QK85	NAA40	TULP2
ZAP70	NAA40	TULP2
UD14	NAA40	TULP2
S12A2	NAA40	TULP2
EST1A	NAA40	TULP2
VKOR1	NAA40	TULP2
XDH	NAA40	TULP2
ACHB4	NAA40	TULP2
RLP24	NAA40	TULP2
EDN1	NAA40	TULP2
GBRB3	NAA40	TULP2
TKT	NAA40	TULP2
NEU2	NAA40	TULP2
3HAO	NAA40	TULP2
RL10L	NAA40	TULP2
ADA1D	NAA40	TULP2
CANB2	NAA40	TULP2
KAP3	NAA40	TULP2
PANX1	NAA40	TULP2
ST2A1	NAA40	TULP2
UPP2	NAA40	TULP2
AK1D1	NAA40	TULP2
CAC1A	NAA40	TULP2
CUBN	NAA40	TULP2
THA	NAA40	TULP2
TBB5	NAA40	TULP2
CATA	NAA40	TULP2
RL3	NAA40	TULP2
PA2GE	NAA40	TULP2
HRH2	NAA40	TULP2
ATTY	NAA40	TULP2
S29A2	NAA40	TULP2
GBRT	NAA40	TULP2
ACHA3	NAA40	TULP2
CDK6	NAA40	TULP2
5HT7R	NAA40	TULP2
ADRB1	NAA40	TULP2
CP11A	NAA40	TULP2
CSK	NAA40	TULP2
5HT3A	NAA40	TULP2
AT12A	NAA40	TULP2
IOD3	NAA40	TULP2
PGFRA	NAA40	TULP2
A1AG1	NAA40	TULP2
TNFA	NAA40	TULP2
NFAC2	NAA40	TULP2
NOS2	NAA40	TULP2
5HT2B	NAA40	TULP2
HS90A	NAA40	TULP2
LCK	NAA40	TULP2
ADCYA	NAA40	TULP2
HS90B	NAA40	TULP2
ADA2A	NAA40	TULP2
CACP	NAA40	TULP2
RARA	NAA40	TULP2
PYC	NAA40	TULP2
CATL1	NAA40	TULP2
ACHA9	NAA40	TULP2
NH2L1	NAA40	TULP2
AAKB2	NAA40	TULP2
DCXR	NAA40	TULP2
CXCL7	NAA40	TULP2
KCNE1	NAA40	TULP2
B3GT4	NAA40	TULP2
ACES	NAA40	TULP2
SCNNG	NAA40	TULP2
HASP	NAA40	TULP2
MMP3	NAA40	TULP2
MET	NAA40	TULP2
AA2BR	NAA40	TULP2
PDE8A	NAA40	TULP2
5HT2C	NAA40	TULP2
AK1C3	NAA40	TULP2
OSTCN	NAA40	TULP2
NMD3B	NAA40	TULP2
CDK5	NAA40	TULP2
PPARA	NAA40	TULP2
DRD2	NAA40	TULP2
VGFR2	NAA40	TULP2
CP1A2	NAA40	TULP2
NGF	NAA40	TULP2
GBRA6	NAA40	TULP2
ACHA7	NAA40	TULP2
CP2C9	NAA40	TULP2
TBA1A	NAA40	TULP2
IL2RA	NAA40	TULP2
PPB1	NAA40	TULP2
PD2R	NAA40	TULP2
Q71TU5	NAA40	TULP2
DCE1	NAA40	TULP2
GBRG1	NAA40	TULP2
FGFR2	NAA40	TULP2
IMPA1	NAA40	TULP2
ACM2	NAA40	TULP2
IL8	NAA40	TULP2
5HT6R	NAA40	TULP2
KPCT	NAA40	TULP2
AOC1	NAA40	TULP2
PCNA	NAA40	TULP2
KSYK	NAA40	TULP2
CAH9	NAA40	TULP2
RL11	NAA40	TULP2
CACB3	NAA40	TULP2
HMDH	NAA40	TULP2
GBRA4	NAA40	TULP2
KIT	NAA40	TULP2
AOFA	NAA40	TULP2
NEP	NAA40	TULP2
GLYC	NAA40	TULP2
NCOA2	NAA40	TULP2
5HT1E	NAA40	TULP2
TBA4A	NAA40	TULP2
METH	NAA40	TULP2
LDHA	NAA40	TULP2
MK08	NAA40	TULP2
IGHG4	NAA40	TULP2
CP2CJ	NAA40	TULP2
RXRA	NAA40	TULP2
PA2GA	NAA40	TULP2
