source	destinations_disconnected_to
ACE	MBNL2
KAPCA	MBNL2
NTKL	MBNL2
CALM	MBNL2
ACHA4	MBNL2
ANXA2	MBNL2
AURKB	MBNL2
GNAT3	MBNL2
CA2D1	MBNL2
CAH4	MBNL2
AK1C1	MBNL2
ROCK1	MBNL2
CHLE	MBNL2
J3QK85	MBNL2
ZAP70	MBNL2
UD14	MBNL2
S12A2	MBNL2
EST1A	MBNL2
VKOR1	MBNL2
XDH	MBNL2
ACHB4	MBNL2
RLP24	MBNL2
EDN1	MBNL2
GBRB3	MBNL2
TKT	MBNL2
NEU2	MBNL2
3HAO	MBNL2
RL10L	MBNL2
ADA1D	MBNL2
CANB2	MBNL2
KAP3	MBNL2
PANX1	MBNL2
ST2A1	MBNL2
UPP2	MBNL2
AK1D1	MBNL2
CAC1A	MBNL2
CUBN	MBNL2
THA	MBNL2
TBB5	MBNL2
CATA	MBNL2
RL3	MBNL2
PA2GE	MBNL2
HRH2	MBNL2
ATTY	MBNL2
S29A2	MBNL2
GBRT	MBNL2
ACHA3	MBNL2
CDK6	MBNL2
5HT7R	MBNL2
ADRB1	MBNL2
CP11A	MBNL2
CSK	MBNL2
5HT3A	MBNL2
AT12A	MBNL2
IOD3	MBNL2
PGFRA	MBNL2
A1AG1	MBNL2
TNFA	MBNL2
NFAC2	MBNL2
NOS2	MBNL2
5HT2B	MBNL2
HS90A	MBNL2
LCK	MBNL2
ADCYA	MBNL2
HS90B	MBNL2
ADA2A	MBNL2
CACP	MBNL2
RARA	MBNL2
PYC	MBNL2
CATL1	MBNL2
ACHA9	MBNL2
NH2L1	MBNL2
AAKB2	MBNL2
DCXR	MBNL2
CXCL7	MBNL2
KCNE1	MBNL2
B3GT4	MBNL2
ACES	MBNL2
SCNNG	MBNL2
HASP	MBNL2
MMP3	MBNL2
MET	MBNL2
AA2BR	MBNL2
PDE8A	MBNL2
5HT2C	MBNL2
AK1C3	MBNL2
OSTCN	MBNL2
NMD3B	MBNL2
CDK5	MBNL2
PPARA	MBNL2
DRD2	MBNL2
VGFR2	MBNL2
CP1A2	MBNL2
NGF	MBNL2
GBRA6	MBNL2
ACHA7	MBNL2
CP2C9	MBNL2
TBA1A	MBNL2
IL2RA	MBNL2
PPB1	MBNL2
PD2R	MBNL2
Q71TU5	MBNL2
DCE1	MBNL2
GBRG1	MBNL2
FGFR2	MBNL2
IMPA1	MBNL2
ACM2	MBNL2
IL8	MBNL2
5HT6R	MBNL2
KPCT	MBNL2
AOC1	MBNL2
PCNA	MBNL2
KSYK	MBNL2
CAH9	MBNL2
RL11	MBNL2
CACB3	MBNL2
HMDH	MBNL2
GBRA4	MBNL2
KIT	MBNL2
AOFA	MBNL2
NEP	MBNL2
GLYC	MBNL2
NCOA2	MBNL2
5HT1E	MBNL2
TBA4A	MBNL2
METH	MBNL2
LDHA	MBNL2
MK08	MBNL2
IGHG4	MBNL2
CP2CJ	MBNL2
RXRA	MBNL2
PA2GA	MBNL2
CP131	MBNL2
ACACB	MBNL2
PTHY	MBNL2
IL10	MBNL2
CAH2	MBNL2
OPRD	MBNL2
AAPK1	MBNL2
PDPK1	MBNL2
ADRB3	MBNL2
C11B1	MBNL2
GBRP	MBNL2
ROCK2	MBNL2
RL8	MBNL2
ADCY2	MBNL2
PHOP2	MBNL2
CAH12	MBNL2
S10A4	MBNL2
GRIK1	MBNL2
CBG	MBNL2
PRGR	MBNL2
HCAR2	MBNL2
DNMT1	MBNL2
PGH2	MBNL2
CAC1F	MBNL2
ADA2C	MBNL2
S15A1	MBNL2
ADA1A	MBNL2
A1AG2	MBNL2
OX1R	MBNL2
KCMA1	MBNL2
NMDE3	MBNL2
HIBCH	MBNL2
IPKA	MBNL2
S22AI	MBNL2
S29A1	MBNL2
