source	destinations_disconnected_to
ACE	LRIT1	LRRC3
KAPCA	LRIT1	LRRC3
NTKL	LRIT1	LRRC3
CALM	LRIT1	LRRC3
ACHA4	LRIT1	LRRC3
ANXA2	LRIT1	LRRC3
AURKB	LRIT1	LRRC3
GNAT3	LRIT1	LRRC3
CA2D1	LRIT1	LRRC3
CAH4	LRIT1	LRRC3
AK1C1	LRIT1	LRRC3
ROCK1	LRIT1	LRRC3
CHLE	LRIT1	LRRC3
J3QK85	LRIT1	LRRC3
ZAP70	LRIT1	LRRC3
UD14	LRIT1	LRRC3
S12A2	LRIT1	LRRC3
EST1A	LRIT1	LRRC3
VKOR1	LRIT1	LRRC3
XDH	LRIT1	LRRC3
ACHB4	LRIT1	LRRC3
RLP24	LRIT1	LRRC3
EDN1	LRIT1	LRRC3
GBRB3	LRIT1	LRRC3
TKT	LRIT1	LRRC3
NEU2	LRIT1	LRRC3
3HAO	LRIT1	LRRC3
RL10L	LRIT1	LRRC3
ADA1D	LRIT1	LRRC3
CANB2	LRIT1	LRRC3
KAP3	LRIT1	LRRC3
PANX1	LRIT1	LRRC3
ST2A1	LRIT1	LRRC3
UPP2	LRIT1	LRRC3
AK1D1	LRIT1	LRRC3
CAC1A	LRIT1	LRRC3
CUBN	LRIT1	LRRC3
THA	LRIT1	LRRC3
TBB5	LRIT1	LRRC3
CATA	LRIT1	LRRC3
RL3	LRIT1	LRRC3
PA2GE	LRIT1	LRRC3
HRH2	LRIT1	LRRC3
ATTY	LRIT1	LRRC3
S29A2	LRIT1	LRRC3
GBRT	LRIT1	LRRC3
ACHA3	LRIT1	LRRC3
CDK6	LRIT1	LRRC3
5HT7R	LRIT1	LRRC3
ADRB1	LRIT1	LRRC3
CP11A	LRIT1	LRRC3
CSK	LRIT1	LRRC3
5HT3A	LRIT1	LRRC3
AT12A	LRIT1	LRRC3
IOD3	LRIT1	LRRC3
PGFRA	LRIT1	LRRC3
A1AG1	LRIT1	LRRC3
TNFA	LRIT1	LRRC3
NFAC2	LRIT1	LRRC3
NOS2	LRIT1	LRRC3
5HT2B	LRIT1	LRRC3
HS90A	LRIT1	LRRC3
LCK	LRIT1	LRRC3
ADCYA	LRIT1	LRRC3
HS90B	LRIT1	LRRC3
ADA2A	LRIT1	LRRC3
CACP	LRIT1	LRRC3
RARA	LRIT1	LRRC3
PYC	LRIT1	LRRC3
CATL1	LRIT1	LRRC3
ACHA9	LRIT1	LRRC3
NH2L1	LRIT1	LRRC3
AAKB2	LRIT1	LRRC3
DCXR	LRIT1	LRRC3
CXCL7	LRIT1	LRRC3
KCNE1	LRIT1	LRRC3
B3GT4	LRIT1	LRRC3
ACES	LRIT1	LRRC3
SCNNG	LRIT1	LRRC3
HASP	LRIT1	LRRC3
MMP3	LRIT1	LRRC3
MET	LRIT1	LRRC3
AA2BR	LRIT1	LRRC3
PDE8A	LRIT1	LRRC3
5HT2C	LRIT1	LRRC3
AK1C3	LRIT1	LRRC3
OSTCN	LRIT1	LRRC3
NMD3B	LRIT1	LRRC3
CDK5	LRIT1	LRRC3
PPARA	LRIT1	LRRC3
DRD2	LRIT1	LRRC3
VGFR2	LRIT1	LRRC3
CP1A2	LRIT1	LRRC3
NGF	LRIT1	LRRC3
GBRA6	LRIT1	LRRC3
ACHA7	LRIT1	LRRC3
CP2C9	LRIT1	LRRC3
TBA1A	LRIT1	LRRC3
IL2RA	LRIT1	LRRC3
PPB1	LRIT1	LRRC3
PD2R	LRIT1	LRRC3
Q71TU5	LRIT1	LRRC3
DCE1	LRIT1	LRRC3
GBRG1	LRIT1	LRRC3
FGFR2	LRIT1	LRRC3
IMPA1	LRIT1	LRRC3
ACM2	LRIT1	LRRC3
IL8	LRIT1	LRRC3
5HT6R	LRIT1	LRRC3
KPCT	LRIT1	LRRC3
AOC1	LRIT1	LRRC3
PCNA	LRIT1	LRRC3
KSYK	LRIT1	LRRC3
CAH9	LRIT1	LRRC3
RL11	LRIT1	LRRC3
CACB3	LRIT1	LRRC3
HMDH	LRIT1	LRRC3
GBRA4	LRIT1	LRRC3
KIT	LRIT1	LRRC3
AOFA	LRIT1	LRRC3
NEP	LRIT1	LRRC3
GLYC	LRIT1	LRRC3
NCOA2	LRIT1	LRRC3
5HT1E	LRIT1	LRRC3
TBA4A	LRIT1	LRRC3
METH	LRIT1	LRRC3
LDHA	LRIT1	LRRC3
MK08	LRIT1	LRRC3
IGHG4	LRIT1	LRRC3
CP2CJ	LRIT1	LRRC3
RXRA	LRIT1	LRRC3
PA2GA	LRIT1	LRRC3
CP131	LRIT1	LRRC3
ACACB	LRIT1	LRRC3
PTHY	LRIT1	LRRC3
IL10	LRIT1	LRRC3
CAH2	LRIT1	LRRC3
OPRD	LRIT1	LRRC3
AAPK1	LRIT1	LRRC3
PDPK1	LRIT1	LRRC3
ADRB3	LRIT1	LRRC3
C11B1	LRIT1	LRRC3
GBRP	LRIT1	LRRC3
ROCK2	LRIT1	LRRC3
RL8	LRIT1	LRRC3
ADCY2	LRIT1	LRRC3
PHOP2	LRIT1	LRRC3
CAH12	LRIT1	LRRC3
S10A4	LRIT1	LRRC3
GRIK1	LRIT1	LRRC3
CBG	LRIT1	LRRC3
PRGR	LRIT1	LRRC3
HCAR2	LRIT1	LRRC3
DNMT1	LRIT1	LRRC3
PGH2	LRIT1	LRRC3
CAC1F	LRIT1	LRRC3
ADA2C	LRIT1	LRRC3
S15A1	LRIT1	LRRC3
ADA1A	LRIT1	LRRC3
A1AG2	LRIT1	LRRC3
OX1R	LRIT1	LRRC3
KCMA1	LRIT1	LRRC3
NMDE3	LRIT1	LRRC3
HIBCH	LRIT1	LRRC3
IPKA	LRIT1	LRRC3
S22AI	LRIT1	LRRC3
S29A1	LRIT1	LRRC3
HDAC1	LRIT1	LRRC3
PNPH	LRIT1	LRRC3
ADA2B	LRIT1	LRRC3
TRFL	LRIT1	LRRC3
ALBU	LRIT1	LRRC3
FMO3	LRIT1	LRRC3
PLK1	LRIT1	LRRC3
SGMR1	LRIT1	LRRC3
GUAA	LRIT1	LRRC3
QOR	LRIT1	LRRC3
GCR	LRIT1	LRRC3
CATD	LRIT1	LRRC3
MIF	LRIT1	LRRC3
HPGDS	LRIT1	LRRC3
MKNK1	LRIT1	LRRC3
P2RY2	LRIT1	LRRC3
S12A4	LRIT1	LRRC3
EGFR	LRIT1	LRRC3
NFKB1	LRIT1	LRRC3
PGFRB	LRIT1	LRRC3
ANT3	LRIT1	LRRC3
GTR1	LRIT1	LRRC3
MK10	LRIT1	LRRC3
CAMLG	LRIT1	LRRC3
HEMH	LRIT1	LRRC3
MTRR	LRIT1	LRRC3
NQO1	LRIT1	LRRC3
ACH10	LRIT1	LRRC3
FMO4	LRIT1	LRRC3
DRD5	LRIT1	LRRC3
TRY1	LRIT1	LRRC3
SCNAA	LRIT1	LRRC3
GBRG3	LRIT1	LRRC3
PDE8B	LRIT1	LRRC3
KCNA2	LRIT1	LRRC3
IFNA2	LRIT1	LRRC3
AA1R	LRIT1	LRRC3
MAPK2	LRIT1	LRRC3
PK3CD	LRIT1	LRRC3
HRH4	LRIT1	LRRC3
GBRB1	LRIT1	LRRC3
HCN2	LRIT1	LRRC3
RL26L	LRIT1	LRRC3
DMTA2	LRIT1	LRRC3
6PGD	LRIT1	LRRC3
GRP78	LRIT1	LRRC3
PSIP1	LRIT1	LRRC3
AT1A4	LRIT1	LRRC3
GLR	LRIT1	LRRC3
OPRK	LRIT1	LRRC3
ATPB	LRIT1	LRRC3
STMN4	LRIT1	LRRC3
CACB2	LRIT1	LRRC3
NMDZ1	LRIT1	LRRC3
SC6A3	LRIT1	LRRC3
ST2B1	LRIT1	LRRC3
TBG1	LRIT1	LRRC3
ESR1	LRIT1	LRRC3
CREB1	LRIT1	LRRC3
5HT1B	LRIT1	LRRC3
ERBB2	LRIT1	LRRC3
HDAC7	LRIT1	LRRC3
KCC1B	LRIT1	LRRC3
TBD	LRIT1	LRRC3
TOP2B	LRIT1	LRRC3
3BHS1	LRIT1	LRRC3
ATP4A	LRIT1	LRRC3
