source	destinations_disconnected_to
ACE	MXRA7
KAPCA	MXRA7
NTKL	MXRA7
CALM	MXRA7
ACHA4	MXRA7
ANXA2	MXRA7
AURKB	MXRA7
GNAT3	MXRA7
CA2D1	MXRA7
CAH4	MXRA7
AK1C1	MXRA7
ROCK1	MXRA7
CHLE	MXRA7
J3QK85	MXRA7
ZAP70	MXRA7
UD14	MXRA7
S12A2	MXRA7
EST1A	MXRA7
VKOR1	MXRA7
XDH	MXRA7
ACHB4	MXRA7
RLP24	MXRA7
EDN1	MXRA7
GBRB3	MXRA7
TKT	MXRA7
NEU2	MXRA7
3HAO	MXRA7
RL10L	MXRA7
ADA1D	MXRA7
CANB2	MXRA7
KAP3	MXRA7
PANX1	MXRA7
ST2A1	MXRA7
UPP2	MXRA7
AK1D1	MXRA7
CAC1A	MXRA7
CUBN	MXRA7
THA	MXRA7
TBB5	MXRA7
CATA	MXRA7
RL3	MXRA7
PA2GE	MXRA7
HRH2	MXRA7
ATTY	MXRA7
S29A2	MXRA7
GBRT	MXRA7
ACHA3	MXRA7
CDK6	MXRA7
5HT7R	MXRA7
ADRB1	MXRA7
CP11A	MXRA7
CSK	MXRA7
5HT3A	MXRA7
AT12A	MXRA7
IOD3	MXRA7
PGFRA	MXRA7
A1AG1	MXRA7
TNFA	MXRA7
NFAC2	MXRA7
NOS2	MXRA7
5HT2B	MXRA7
HS90A	MXRA7
LCK	MXRA7
ADCYA	MXRA7
HS90B	MXRA7
ADA2A	MXRA7
CACP	MXRA7
RARA	MXRA7
PYC	MXRA7
CATL1	MXRA7
ACHA9	MXRA7
NH2L1	MXRA7
AAKB2	MXRA7
DCXR	MXRA7
CXCL7	MXRA7
KCNE1	MXRA7
B3GT4	MXRA7
ACES	MXRA7
SCNNG	MXRA7
HASP	MXRA7
MMP3	MXRA7
MET	MXRA7
AA2BR	MXRA7
PDE8A	MXRA7
5HT2C	MXRA7
AK1C3	MXRA7
OSTCN	MXRA7
NMD3B	MXRA7
CDK5	MXRA7
PPARA	MXRA7
DRD2	MXRA7
VGFR2	MXRA7
CP1A2	MXRA7
NGF	MXRA7
GBRA6	MXRA7
ACHA7	MXRA7
CP2C9	MXRA7
TBA1A	MXRA7
IL2RA	MXRA7
PPB1	MXRA7
PD2R	MXRA7
Q71TU5	MXRA7
DCE1	MXRA7
GBRG1	MXRA7
FGFR2	MXRA7
IMPA1	MXRA7
ACM2	MXRA7
IL8	MXRA7
5HT6R	MXRA7
KPCT	MXRA7
AOC1	MXRA7
PCNA	MXRA7
KSYK	MXRA7
CAH9	MXRA7
RL11	MXRA7
CACB3	MXRA7
HMDH	MXRA7
GBRA4	MXRA7
KIT	MXRA7
AOFA	MXRA7
NEP	MXRA7
GLYC	MXRA7
NCOA2	MXRA7
5HT1E	MXRA7
TBA4A	MXRA7
METH	MXRA7
LDHA	MXRA7
MK08	MXRA7
IGHG4	MXRA7
CP2CJ	MXRA7
RXRA	MXRA7
PA2GA	MXRA7
CP131	MXRA7
ACACB	MXRA7
PTHY	MXRA7
IL10	MXRA7
CAH2	MXRA7
OPRD	MXRA7
AAPK1	MXRA7
PDPK1	MXRA7
ADRB3	MXRA7
C11B1	MXRA7
GBRP	MXRA7
ROCK2	MXRA7
RL8	MXRA7
ADCY2	MXRA7
PHOP2	MXRA7
CAH12	MXRA7
S10A4	MXRA7
GRIK1	MXRA7
CBG	MXRA7
PRGR	MXRA7
HCAR2	MXRA7
DNMT1	MXRA7
PGH2	MXRA7
CAC1F	MXRA7
ADA2C	MXRA7
S15A1	MXRA7
ADA1A	MXRA7
A1AG2	MXRA7
OX1R	MXRA7
KCMA1	MXRA7
NMDE3	MXRA7
HIBCH	MXRA7
IPKA	MXRA7
S22AI	MXRA7
S29A1	MXRA7
HDAC1	MXRA7
PNPH	MXRA7
ADA2B	MXRA7
TRFL	MXRA7
ALBU	MXRA7
FMO3	MXRA7
PLK1	MXRA7
SGMR1	MXRA7
GUAA	MXRA7
QOR	MXRA7
GCR	MXRA7
CATD	MXRA7
MIF	MXRA7
HPGDS	MXRA7
MKNK1	MXRA7
P2RY2	MXRA7
S12A4	MXRA7
EGFR	MXRA7
NFKB1	MXRA7
PGFRB	MXRA7
ANT3	MXRA7
GTR1	MXRA7
MK10	MXRA7
CAMLG	MXRA7
HEMH	MXRA7
MTRR	MXRA7
NQO1	MXRA7
ACH10	MXRA7
FMO4	MXRA7
DRD5	MXRA7
TRY1	MXRA7
SCNAA	MXRA7
GBRG3	MXRA7
PDE8B	MXRA7
KCNA2	MXRA7
IFNA2	MXRA7
AA1R	MXRA7
