source	destinations_disconnected_to
ACE	KRCC1
KAPCA	KRCC1
NTKL	KRCC1
CALM	KRCC1
ACHA4	KRCC1
ANXA2	KRCC1
AURKB	KRCC1
GNAT3	KRCC1
CA2D1	KRCC1
CAH4	KRCC1
AK1C1	KRCC1
ROCK1	KRCC1
CHLE	KRCC1
J3QK85	KRCC1
ZAP70	KRCC1
UD14	KRCC1
S12A2	KRCC1
EST1A	KRCC1
VKOR1	KRCC1
XDH	KRCC1
ACHB4	KRCC1
RLP24	KRCC1
EDN1	KRCC1
GBRB3	KRCC1
TKT	KRCC1
NEU2	KRCC1
3HAO	KRCC1
RL10L	KRCC1
ADA1D	KRCC1
CANB2	KRCC1
KAP3	KRCC1
PANX1	KRCC1
ST2A1	KRCC1
UPP2	KRCC1
AK1D1	KRCC1
CAC1A	KRCC1
CUBN	KRCC1
THA	KRCC1
TBB5	KRCC1
CATA	KRCC1
RL3	KRCC1
PA2GE	KRCC1
HRH2	KRCC1
ATTY	KRCC1
S29A2	KRCC1
GBRT	KRCC1
ACHA3	KRCC1
CDK6	KRCC1
5HT7R	KRCC1
ADRB1	KRCC1
CP11A	KRCC1
CSK	KRCC1
5HT3A	KRCC1
AT12A	KRCC1
IOD3	KRCC1
PGFRA	KRCC1
A1AG1	KRCC1
TNFA	KRCC1
NFAC2	KRCC1
NOS2	KRCC1
5HT2B	KRCC1
HS90A	KRCC1
LCK	KRCC1
ADCYA	KRCC1
HS90B	KRCC1
ADA2A	KRCC1
CACP	KRCC1
RARA	KRCC1
PYC	KRCC1
CATL1	KRCC1
ACHA9	KRCC1
NH2L1	KRCC1
AAKB2	KRCC1
DCXR	KRCC1
CXCL7	KRCC1
KCNE1	KRCC1
B3GT4	KRCC1
ACES	KRCC1
SCNNG	KRCC1
HASP	KRCC1
MMP3	KRCC1
MET	KRCC1
AA2BR	KRCC1
PDE8A	KRCC1
5HT2C	KRCC1
AK1C3	KRCC1
OSTCN	KRCC1
NMD3B	KRCC1
CDK5	KRCC1
PPARA	KRCC1
DRD2	KRCC1
VGFR2	KRCC1
CP1A2	KRCC1
NGF	KRCC1
GBRA6	KRCC1
ACHA7	KRCC1
CP2C9	KRCC1
TBA1A	KRCC1
IL2RA	KRCC1
PPB1	KRCC1
PD2R	KRCC1
Q71TU5	KRCC1
DCE1	KRCC1
GBRG1	KRCC1
FGFR2	KRCC1
IMPA1	KRCC1
ACM2	KRCC1
IL8	KRCC1
5HT6R	KRCC1
KPCT	KRCC1
AOC1	KRCC1
PCNA	KRCC1
KSYK	KRCC1
CAH9	KRCC1
RL11	KRCC1
CACB3	KRCC1
HMDH	KRCC1
GBRA4	KRCC1
KIT	KRCC1
AOFA	KRCC1
NEP	KRCC1
GLYC	KRCC1
NCOA2	KRCC1
5HT1E	KRCC1
TBA4A	KRCC1
METH	KRCC1
LDHA	KRCC1
MK08	KRCC1
IGHG4	KRCC1
CP2CJ	KRCC1
RXRA	KRCC1
PA2GA	KRCC1
CP131	KRCC1
ACACB	KRCC1
PTHY	KRCC1
IL10	KRCC1
CAH2	KRCC1
OPRD	KRCC1
AAPK1	KRCC1
PDPK1	KRCC1
ADRB3	KRCC1
C11B1	KRCC1
GBRP	KRCC1
ROCK2	KRCC1
RL8	KRCC1
ADCY2	KRCC1
PHOP2	KRCC1
CAH12	KRCC1
S10A4	KRCC1
GRIK1	KRCC1
CBG	KRCC1
PRGR	KRCC1
HCAR2	KRCC1
DNMT1	KRCC1
PGH2	KRCC1
CAC1F	KRCC1
ADA2C	KRCC1
S15A1	KRCC1
ADA1A	KRCC1
A1AG2	KRCC1
OX1R	KRCC1
KCMA1	KRCC1
NMDE3	KRCC1
HIBCH	KRCC1
IPKA	KRCC1
S22AI	KRCC1
S29A1	KRCC1
HDAC1	KRCC1
PNPH	KRCC1
ADA2B	KRCC1
TRFL	KRCC1
ALBU	KRCC1
FMO3	KRCC1
PLK1	KRCC1
SGMR1	KRCC1
GUAA	KRCC1
QOR	KRCC1
GCR	KRCC1
CATD	KRCC1
MIF	KRCC1
HPGDS	KRCC1
MKNK1	KRCC1
P2RY2	KRCC1
S12A4	KRCC1
EGFR	KRCC1
NFKB1	KRCC1
PGFRB	KRCC1
ANT3	KRCC1
GTR1	KRCC1
MK10	KRCC1
CAMLG	KRCC1
HEMH	KRCC1
MTRR	KRCC1
NQO1	KRCC1
ACH10	KRCC1
FMO4	KRCC1
DRD5	KRCC1
TRY1	KRCC1
SCNAA	KRCC1
GBRG3	KRCC1
PDE8B	KRCC1
KCNA2	KRCC1
IFNA2	KRCC1
AA1R	KRCC1
MAPK2	KRCC1
PK3CD	KRCC1
HRH4	KRCC1
GBRB1	KRCC1
HCN2	KRCC1
RL26L	KRCC1
DMTA2	KRCC1
6PGD	KRCC1
GRP78	KRCC1
PSIP1	KRCC1
AT1A4	KRCC1
GLR	KRCC1
OPRK	KRCC1
ATPB	KRCC1
STMN4	KRCC1
CACB2	KRCC1
NMDZ1	KRCC1
SC6A3	KRCC1
ST2B1	KRCC1
TBG1	KRCC1
ESR1	KRCC1
CREB1	KRCC1
5HT1B	KRCC1
ERBB2	KRCC1
HDAC7	KRCC1
KCC1B	KRCC1
TBD	KRCC1
TOP2B	KRCC1
3BHS1	KRCC1
ATP4A	KRCC1
LOX5	KRCC1
UD3A1	KRCC1
BDNF	KRCC1
GBRA1	KRCC1
FOS	KRCC1
SHBG	KRCC1
ODP2	KRCC1
ABCA1	KRCC1
DYR	KRCC1
P85A	KRCC1
SIR1	KRCC1
MTHR	KRCC1
ADCL2	KRCC1
IBP3	KRCC1
DDR1	KRCC1
CP46A	KRCC1
SCN2A	KRCC1
IL4	KRCC1
NPS	KRCC1
NMDE1	KRCC1
AOFB	KRCC1
RL13A	KRCC1
S22A2	KRCC1
CALY	KRCC1
S12A5	KRCC1
PK3CA	KRCC1
PDE4D	KRCC1
KIF11	KRCC1
NR1I2	KRCC1
NISCH	KRCC1
NFKB2	KRCC1
ITK	KRCC1
PPIA	KRCC1
MMAA	KRCC1
PA24A	KRCC1
HYES	KRCC1
CP2C8	KRCC1
CAC1D	KRCC1
SCNNA	KRCC1
DRD3	KRCC1
