source	destinations_disconnected_to
ACE	ZNF93	PTCD2
KAPCA	ZNF93	PTCD2
NTKL	ZNF93	PTCD2
CALM	ZNF93	PTCD2
ACHA4	ZNF93	PTCD2
ANXA2	ZNF93	PTCD2
AURKB	ZNF93	PTCD2
GNAT3	ZNF93	PTCD2
CA2D1	ZNF93	PTCD2
CAH4	ZNF93	PTCD2
AK1C1	ZNF93	PTCD2
ROCK1	ZNF93	PTCD2
CHLE	ZNF93	PTCD2
J3QK85	ZNF93	PTCD2
ZAP70	ZNF93	PTCD2
UD14	ZNF93	PTCD2
S12A2	ZNF93	PTCD2
EST1A	ZNF93	PTCD2
VKOR1	ZNF93	PTCD2
XDH	ZNF93	PTCD2
ACHB4	ZNF93	PTCD2
RLP24	ZNF93	PTCD2
EDN1	ZNF93	PTCD2
GBRB3	ZNF93	PTCD2
TKT	ZNF93	PTCD2
NEU2	ZNF93	PTCD2
3HAO	ZNF93	PTCD2
RL10L	ZNF93	PTCD2
ADA1D	ZNF93	PTCD2
CANB2	ZNF93	PTCD2
KAP3	ZNF93	PTCD2
PANX1	ZNF93	PTCD2
ST2A1	ZNF93	PTCD2
UPP2	ZNF93	PTCD2
AK1D1	ZNF93	PTCD2
CAC1A	ZNF93	PTCD2
CUBN	ZNF93	PTCD2
THA	ZNF93	PTCD2
TBB5	ZNF93	PTCD2
CATA	ZNF93	PTCD2
RL3	ZNF93	PTCD2
PA2GE	ZNF93	PTCD2
HRH2	ZNF93	PTCD2
ATTY	ZNF93	PTCD2
S29A2	ZNF93	PTCD2
GBRT	ZNF93	PTCD2
ACHA3	ZNF93	PTCD2
CDK6	ZNF93	PTCD2
5HT7R	ZNF93	PTCD2
ADRB1	ZNF93	PTCD2
CP11A	ZNF93	PTCD2
CSK	ZNF93	PTCD2
5HT3A	ZNF93	PTCD2
AT12A	ZNF93	PTCD2
IOD3	ZNF93	PTCD2
PGFRA	ZNF93	PTCD2
A1AG1	ZNF93	PTCD2
TNFA	ZNF93	PTCD2
NFAC2	ZNF93	PTCD2
NOS2	ZNF93	PTCD2
5HT2B	ZNF93	PTCD2
HS90A	ZNF93	PTCD2
LCK	ZNF93	PTCD2
ADCYA	ZNF93	PTCD2
HS90B	ZNF93	PTCD2
ADA2A	ZNF93	PTCD2
CACP	ZNF93	PTCD2
RARA	ZNF93	PTCD2
PYC	ZNF93	PTCD2
CATL1	ZNF93	PTCD2
ACHA9	ZNF93	PTCD2
NH2L1	ZNF93	PTCD2
AAKB2	ZNF93	PTCD2
DCXR	ZNF93	PTCD2
CXCL7	ZNF93	PTCD2
KCNE1	ZNF93	PTCD2
B3GT4	ZNF93	PTCD2
ACES	ZNF93	PTCD2
SCNNG	ZNF93	PTCD2
HASP	ZNF93	PTCD2
MMP3	ZNF93	PTCD2
MET	ZNF93	PTCD2
AA2BR	ZNF93	PTCD2
PDE8A	ZNF93	PTCD2
5HT2C	ZNF93	PTCD2
AK1C3	ZNF93	PTCD2
OSTCN	ZNF93	PTCD2
NMD3B	ZNF93	PTCD2
CDK5	ZNF93	PTCD2
PPARA	ZNF93	PTCD2
DRD2	ZNF93	PTCD2
VGFR2	ZNF93	PTCD2
CP1A2	ZNF93	PTCD2
NGF	ZNF93	PTCD2
GBRA6	ZNF93	PTCD2
ACHA7	ZNF93	PTCD2
CP2C9	ZNF93	PTCD2
TBA1A	ZNF93	PTCD2
IL2RA	ZNF93	PTCD2
PPB1	ZNF93	PTCD2
PD2R	ZNF93	PTCD2
Q71TU5	ZNF93	PTCD2
DCE1	ZNF93	PTCD2
GBRG1	ZNF93	PTCD2
FGFR2	ZNF93	PTCD2
IMPA1	ZNF93	PTCD2
ACM2	ZNF93	PTCD2
IL8	ZNF93	PTCD2
5HT6R	ZNF93	PTCD2
KPCT	ZNF93	PTCD2
AOC1	ZNF93	PTCD2
PCNA	ZNF93	PTCD2
KSYK	ZNF93	PTCD2
CAH9	ZNF93	PTCD2
