source	destinations_disconnected_to
ACE	DHRS7
KAPCA	DHRS7
NTKL	DHRS7
CALM	DHRS7
ACHA4	DHRS7
ANXA2	DHRS7
AURKB	DHRS7
GNAT3	DHRS7
CA2D1	DHRS7
CAH4	DHRS7
AK1C1	DHRS7
ROCK1	DHRS7
CHLE	DHRS7
J3QK85	DHRS7
ZAP70	DHRS7
UD14	DHRS7
S12A2	DHRS7
EST1A	DHRS7
VKOR1	DHRS7
XDH	DHRS7
ACHB4	DHRS7
RLP24	DHRS7
EDN1	DHRS7
GBRB3	DHRS7
TKT	DHRS7
NEU2	DHRS7
3HAO	DHRS7
RL10L	DHRS7
ADA1D	DHRS7
CANB2	DHRS7
KAP3	DHRS7
PANX1	DHRS7
ST2A1	DHRS7
UPP2	DHRS7
AK1D1	DHRS7
CAC1A	DHRS7
CUBN	DHRS7
THA	DHRS7
TBB5	DHRS7
CATA	DHRS7
RL3	DHRS7
PA2GE	DHRS7
HRH2	DHRS7
ATTY	DHRS7
S29A2	DHRS7
GBRT	DHRS7
ACHA3	DHRS7
CDK6	DHRS7
5HT7R	DHRS7
ADRB1	DHRS7
CP11A	DHRS7
CSK	DHRS7
5HT3A	DHRS7
AT12A	DHRS7
IOD3	DHRS7
PGFRA	DHRS7
A1AG1	DHRS7
TNFA	DHRS7
NFAC2	DHRS7
NOS2	DHRS7
5HT2B	DHRS7
HS90A	DHRS7
LCK	DHRS7
ADCYA	DHRS7
HS90B	DHRS7
ADA2A	DHRS7
CACP	DHRS7
RARA	DHRS7
PYC	DHRS7
CATL1	DHRS7
ACHA9	DHRS7
NH2L1	DHRS7
AAKB2	DHRS7
DCXR	DHRS7
CXCL7	DHRS7
KCNE1	DHRS7
B3GT4	DHRS7
ACES	DHRS7
SCNNG	DHRS7
HASP	DHRS7
MMP3	DHRS7
MET	DHRS7
AA2BR	DHRS7
PDE8A	DHRS7
5HT2C	DHRS7
AK1C3	DHRS7
OSTCN	DHRS7
NMD3B	DHRS7
CDK5	DHRS7
PPARA	DHRS7
DRD2	DHRS7
VGFR2	DHRS7
CP1A2	DHRS7
NGF	DHRS7
GBRA6	DHRS7
ACHA7	DHRS7
