source	destinations_disconnected_to
ACE	SETD4
KAPCA	SETD4
NTKL	SETD4
CALM	SETD4
ACHA4	SETD4
ANXA2	SETD4
AURKB	SETD4
GNAT3	SETD4
CA2D1	SETD4
CAH4	SETD4
AK1C1	SETD4
ROCK1	SETD4
CHLE	SETD4
J3QK85	SETD4
ZAP70	SETD4
UD14	SETD4
S12A2	SETD4
EST1A	SETD4
VKOR1	SETD4
XDH	SETD4
ACHB4	SETD4
RLP24	SETD4
EDN1	SETD4
GBRB3	SETD4
TKT	SETD4
NEU2	SETD4
3HAO	SETD4
RL10L	SETD4
ADA1D	SETD4
CANB2	SETD4
KAP3	SETD4
PANX1	SETD4
ST2A1	SETD4
UPP2	SETD4
AK1D1	SETD4
CAC1A	SETD4
CUBN	SETD4
THA	SETD4
TBB5	SETD4
CATA	SETD4
RL3	SETD4
PA2GE	SETD4
HRH2	SETD4
ATTY	SETD4
S29A2	SETD4
GBRT	SETD4
ACHA3	SETD4
CDK6	SETD4
5HT7R	SETD4
ADRB1	SETD4
CP11A	SETD4
CSK	SETD4
5HT3A	SETD4
AT12A	SETD4
IOD3	SETD4
PGFRA	SETD4
A1AG1	SETD4
TNFA	SETD4
NFAC2	SETD4
NOS2	SETD4
5HT2B	SETD4
HS90A	SETD4
LCK	SETD4
ADCYA	SETD4
HS90B	SETD4
ADA2A	SETD4
CACP	SETD4
RARA	SETD4
PYC	SETD4
CATL1	SETD4
ACHA9	SETD4
NH2L1	SETD4
AAKB2	SETD4
DCXR	SETD4
CXCL7	SETD4
KCNE1	SETD4
B3GT4	SETD4
ACES	SETD4
SCNNG	SETD4
HASP	SETD4
MMP3	SETD4
MET	SETD4
AA2BR	SETD4
PDE8A	SETD4
5HT2C	SETD4
AK1C3	SETD4
OSTCN	SETD4
NMD3B	SETD4
CDK5	SETD4
PPARA	SETD4
DRD2	SETD4
VGFR2	SETD4
CP1A2	SETD4
NGF	SETD4
GBRA6	SETD4
ACHA7	SETD4
CP2C9	SETD4
TBA1A	SETD4
IL2RA	SETD4
PPB1	SETD4
PD2R	SETD4
Q71TU5	SETD4
DCE1	SETD4
GBRG1	SETD4
FGFR2	SETD4
IMPA1	SETD4
ACM2	SETD4
IL8	SETD4
5HT6R	SETD4
KPCT	SETD4
AOC1	SETD4
PCNA	SETD4
KSYK	SETD4
CAH9	SETD4
RL11	SETD4
CACB3	SETD4
HMDH	SETD4
GBRA4	SETD4
KIT	SETD4
AOFA	SETD4
NEP	SETD4
GLYC	SETD4
NCOA2	SETD4
5HT1E	SETD4
TBA4A	SETD4
METH	SETD4
LDHA	SETD4
MK08	SETD4
IGHG4	SETD4
CP2CJ	SETD4
RXRA	SETD4
PA2GA	SETD4
CP131	SETD4
ACACB	SETD4
PTHY	SETD4
IL10	SETD4
CAH2	SETD4
OPRD	SETD4
AAPK1	SETD4
PDPK1	SETD4
ADRB3	SETD4
C11B1	SETD4
GBRP	SETD4
ROCK2	SETD4
RL8	SETD4
ADCY2	SETD4
PHOP2	SETD4
CAH12	SETD4
S10A4	SETD4
GRIK1	SETD4
CBG	SETD4
PRGR	SETD4
HCAR2	SETD4
DNMT1	SETD4
PGH2	SETD4
CAC1F	SETD4
ADA2C	SETD4
S15A1	SETD4
ADA1A	SETD4
A1AG2	SETD4
OX1R	SETD4
KCMA1	SETD4
NMDE3	SETD4
HIBCH	SETD4
IPKA	SETD4
S22AI	SETD4
S29A1	SETD4
HDAC1	SETD4
PNPH	SETD4
ADA2B	SETD4
TRFL	SETD4
ALBU	SETD4
FMO3	SETD4
PLK1	SETD4
SGMR1	SETD4
GUAA	SETD4
QOR	SETD4
GCR	SETD4
CATD	SETD4
MIF	SETD4
HPGDS	SETD4
MKNK1	SETD4
P2RY2	SETD4
S12A4	SETD4
EGFR	SETD4
NFKB1	SETD4
PGFRB	SETD4
ANT3	SETD4
GTR1	SETD4
MK10	SETD4
CAMLG	SETD4
HEMH	SETD4
MTRR	SETD4
NQO1	SETD4
ACH10	SETD4
FMO4	SETD4
DRD5	SETD4
TRY1	SETD4
SCNAA	SETD4
GBRG3	SETD4
PDE8B	SETD4
KCNA2	SETD4
IFNA2	SETD4
AA1R	SETD4
