source	destinations_disconnected_to
ACE	BEX4	PRR7
KAPCA	BEX4	PRR7
NTKL	BEX4	PRR7
CALM	BEX4	PRR7
ACHA4	BEX4	PRR7
ANXA2	BEX4	PRR7
AURKB	BEX4	PRR7
GNAT3	BEX4	PRR7
CA2D1	BEX4	PRR7
CAH4	BEX4	PRR7
AK1C1	BEX4	PRR7
ROCK1	BEX4	PRR7
CHLE	BEX4	PRR7
J3QK85	BEX4	PRR7
ZAP70	BEX4	PRR7
UD14	BEX4	PRR7
S12A2	BEX4	PRR7
EST1A	BEX4	PRR7
VKOR1	BEX4	PRR7
XDH	BEX4	PRR7
ACHB4	BEX4	PRR7
RLP24	BEX4	PRR7
EDN1	BEX4	PRR7
GBRB3	BEX4	PRR7
TKT	BEX4	PRR7
NEU2	BEX4	PRR7
3HAO	BEX4	PRR7
RL10L	BEX4	PRR7
ADA1D	BEX4	PRR7
CANB2	BEX4	PRR7
KAP3	BEX4	PRR7
PANX1	BEX4	PRR7
ST2A1	BEX4	PRR7
UPP2	BEX4	PRR7
AK1D1	BEX4	PRR7
CAC1A	BEX4	PRR7
CUBN	BEX4	PRR7
THA	BEX4	PRR7
TBB5	BEX4	PRR7
CATA	BEX4	PRR7
RL3	BEX4	PRR7
PA2GE	BEX4	PRR7
HRH2	BEX4	PRR7
ATTY	BEX4	PRR7
S29A2	BEX4	PRR7
GBRT	BEX4	PRR7
ACHA3	BEX4	PRR7
CDK6	BEX4	PRR7
5HT7R	BEX4	PRR7
ADRB1	BEX4	PRR7
CP11A	BEX4	PRR7
CSK	BEX4	PRR7
5HT3A	BEX4	PRR7
AT12A	BEX4	PRR7
IOD3	BEX4	PRR7
PGFRA	BEX4	PRR7
A1AG1	BEX4	PRR7
TNFA	BEX4	PRR7
NFAC2	BEX4	PRR7
NOS2	BEX4	PRR7
5HT2B	BEX4	PRR7
HS90A	BEX4	PRR7
LCK	BEX4	PRR7
ADCYA	BEX4	PRR7
HS90B	BEX4	PRR7
ADA2A	BEX4	PRR7
CACP	BEX4	PRR7
RARA	BEX4	PRR7
PYC	BEX4	PRR7
CATL1	BEX4	PRR7
ACHA9	BEX4	PRR7
NH2L1	BEX4	PRR7
AAKB2	BEX4	PRR7
DCXR	BEX4	PRR7
CXCL7	BEX4	PRR7
KCNE1	BEX4	PRR7
B3GT4	BEX4	PRR7
ACES	BEX4	PRR7
SCNNG	BEX4	PRR7
HASP	BEX4	PRR7
MMP3	BEX4	PRR7
MET	BEX4	PRR7
AA2BR	BEX4	PRR7
PDE8A	BEX4	PRR7
5HT2C	BEX4	PRR7
AK1C3	BEX4	PRR7
OSTCN	BEX4	PRR7
NMD3B	BEX4	PRR7
CDK5	BEX4	PRR7
PPARA	BEX4	PRR7
DRD2	BEX4	PRR7
VGFR2	BEX4	PRR7
CP1A2	BEX4	PRR7
NGF	BEX4	PRR7
GBRA6	BEX4	PRR7
ACHA7	BEX4	PRR7
CP2C9	BEX4	PRR7
TBA1A	BEX4	PRR7
IL2RA	BEX4	PRR7
PPB1	BEX4	PRR7
PD2R	BEX4	PRR7
Q71TU5	BEX4	PRR7
DCE1	BEX4	PRR7
GBRG1	BEX4	PRR7
FGFR2	BEX4	PRR7
IMPA1	BEX4	PRR7
ACM2	BEX4	PRR7
IL8	BEX4	PRR7
5HT6R	BEX4	PRR7
KPCT	BEX4	PRR7
AOC1	BEX4	PRR7
PCNA	BEX4	PRR7
KSYK	BEX4	PRR7
CAH9	BEX4	PRR7
RL11	BEX4	PRR7
CACB3	BEX4	PRR7
HMDH	BEX4	PRR7
GBRA4	BEX4	PRR7
KIT	BEX4	PRR7
AOFA	BEX4	PRR7
NEP	BEX4	PRR7
GLYC	BEX4	PRR7
NCOA2	BEX4	PRR7
5HT1E	BEX4	PRR7
TBA4A	BEX4	PRR7
METH	BEX4	PRR7
LDHA	BEX4	PRR7
MK08	BEX4	PRR7
IGHG4	BEX4	PRR7
CP2CJ	BEX4	PRR7
RXRA	BEX4	PRR7
PA2GA	BEX4	PRR7
CP131	BEX4	PRR7
ACACB	BEX4	PRR7
PTHY	BEX4	PRR7
IL10	BEX4	PRR7
CAH2	BEX4	PRR7
OPRD	BEX4	PRR7
AAPK1	BEX4	PRR7
PDPK1	BEX4	PRR7
ADRB3	BEX4	PRR7
C11B1	BEX4	PRR7
GBRP	BEX4	PRR7
ROCK2	BEX4	PRR7
RL8	BEX4	PRR7
ADCY2	BEX4	PRR7
PHOP2	BEX4	PRR7
CAH12	BEX4	PRR7
S10A4	BEX4	PRR7
GRIK1	BEX4	PRR7
CBG	BEX4	PRR7
PRGR	BEX4	PRR7
HCAR2	BEX4	PRR7
DNMT1	BEX4	PRR7
PGH2	BEX4	PRR7
CAC1F	BEX4	PRR7
ADA2C	BEX4	PRR7
S15A1	BEX4	PRR7
ADA1A	BEX4	PRR7
A1AG2	BEX4	PRR7
OX1R	BEX4	PRR7
KCMA1	BEX4	PRR7
NMDE3	BEX4	PRR7
HIBCH	BEX4	PRR7
IPKA	BEX4	PRR7
S22AI	BEX4	PRR7
S29A1	BEX4	PRR7
HDAC1	BEX4	PRR7
PNPH	BEX4	PRR7
ADA2B	BEX4	PRR7
TRFL	BEX4	PRR7
ALBU	BEX4	PRR7
FMO3	BEX4	PRR7
PLK1	BEX4	PRR7
SGMR1	BEX4	PRR7
GUAA	BEX4	PRR7
QOR	BEX4	PRR7
GCR	BEX4	PRR7
CATD	BEX4	PRR7
MIF	BEX4	PRR7
HPGDS	BEX4	PRR7
MKNK1	BEX4	PRR7
P2RY2	BEX4	PRR7
S12A4	BEX4	PRR7
EGFR	BEX4	PRR7
NFKB1	BEX4	PRR7
PGFRB	BEX4	PRR7
ANT3	BEX4	PRR7
GTR1	BEX4	PRR7
MK10	BEX4	PRR7
CAMLG	BEX4	PRR7
HEMH	BEX4	PRR7
MTRR	BEX4	PRR7
NQO1	BEX4	PRR7
ACH10	BEX4	PRR7
FMO4	BEX4	PRR7
DRD5	BEX4	PRR7
TRY1	BEX4	PRR7
SCNAA	BEX4	PRR7
GBRG3	BEX4	PRR7
PDE8B	BEX4	PRR7
KCNA2	BEX4	PRR7
IFNA2	BEX4	PRR7
AA1R	BEX4	PRR7
MAPK2	BEX4	PRR7
PK3CD	BEX4	PRR7
HRH4	BEX4	PRR7
GBRB1	BEX4	PRR7
HCN2	BEX4	PRR7
RL26L	BEX4	PRR7
DMTA2	BEX4	PRR7
6PGD	BEX4	PRR7
GRP78	BEX4	PRR7
PSIP1	BEX4	PRR7
AT1A4	BEX4	PRR7
GLR	BEX4	PRR7
OPRK	BEX4	PRR7
ATPB	BEX4	PRR7
STMN4	BEX4	PRR7
CACB2	BEX4	PRR7
NMDZ1	BEX4	PRR7
SC6A3	BEX4	PRR7
ST2B1	BEX4	PRR7
TBG1	BEX4	PRR7
ESR1	BEX4	PRR7
CREB1	BEX4	PRR7
5HT1B	BEX4	PRR7
ERBB2	BEX4	PRR7
HDAC7	BEX4	PRR7
KCC1B	BEX4	PRR7
TBD	BEX4	PRR7
TOP2B	BEX4	PRR7
3BHS1	BEX4	PRR7
ATP4A	BEX4	PRR7
LOX5	BEX4	PRR7
UD3A1	BEX4	PRR7
BDNF	BEX4	PRR7
GBRA1	BEX4	PRR7
FOS	BEX4	PRR7
SHBG	BEX4	PRR7
ODP2	BEX4	PRR7
ABCA1	BEX4	PRR7
DYR	BEX4	PRR7
P85A	BEX4	PRR7
SIR1	BEX4	PRR7
MTHR	BEX4	PRR7
ADCL2	BEX4	PRR7
IBP3	BEX4	PRR7
DDR1	BEX4	PRR7
CP46A	BEX4	PRR7
SCN2A	BEX4	PRR7
IL4	BEX4	PRR7
NPS	BEX4	PRR7
NMDE1	BEX4	PRR7
AOFB	BEX4	PRR7
RL13A	BEX4	PRR7
S22A2	BEX4	PRR7
CALY	BEX4	PRR7
S12A5	BEX4	PRR7
PK3CA	BEX4	PRR7
PDE4D	BEX4	PRR7
KIF11	BEX4	PRR7
